"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.704372151784506,0.565951328872874,0.816993687848351,0.807407407407407,0.724646885895219,0.880238240824578,0.732142857142857,0.694444444444444,0.76984126984127
"Eligibility",0.461538461538462,NA,NA,0.666666666666667,NA,NA,0.732142857142857,NA,NA
"Recruitment",0.414925373134328,NA,NA,0.631578947368421,NA,NA,0.660714285714286,NA,NA
"Setting",0.605633802816901,NA,NA,0.947368421052632,NA,NA,0.660714285714286,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.875,NA,NA
"Flex. delivery",0.71859296482412,NA,NA,0.714285714285714,NA,NA,0.75,NA,NA
"Flex. adherence",0.917159763313609,NA,NA,0.952380952380952,NA,NA,0.625,NA,NA
"Follow-up",0.645569620253165,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Outcome",0.839080459770115,NA,NA,0.9375,NA,NA,0.714285714285714,NA,NA
"Analysis",0.578947368421053,NA,NA,0.666666666666667,NA,NA,0.678571428571429,NA,NA
