"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.75201731942531,0.538056469788614,0.913075652957691,0.709677419354839,0.545454545454545,0.852941176470588,0.938492063492063,0.916666666666667,0.96031746031746
"Eligibility",-0.513513513513514,NA,NA,0,NA,NA,0.964285714285714,NA,NA
"Recruitment",NA,NA,NA,NA,NA,NA,1,NA,NA
"Setting",0.096774193548387,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.946428571428571,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Outcome",0.744292237442922,NA,NA,0.916666666666667,NA,NA,0.785714285714286,NA,NA
"Analysis",0.644444444444444,NA,NA,0.444444444444444,NA,NA,0.839285714285714,NA,NA
