"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.571392125180713,0.751984126984127,0
"Eligibility",0.587301587301587,0.821428571428571,0
"Recruitment",0.459807073954984,0.678571428571429,0
"Setting",0.235494880546075,0.857142857142857,0
"Organization",0.329341317365269,0.767857142857143,0
"Flex. delivery",0.628677994198094,0.714285714285714,0
"Flex. adherence",0.409090909090909,0.589285714285714,0
"Follow-up",0.324526134405514,0.732142857142857,0
"Outcome",0.746319365798415,0.857142857142857,0
"Analysis",0.701787751996957,0.75,0
