"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.281382516142438,0.595180722891566,0
"Eligibility",0.230496453900709,0.714285714285714,0
"Recruitment",0.294277929155313,0.621621621621622,0
"Setting",0.179566563467492,0.679245283018868,0
"Organization",0.123287671232877,0.5625,0
"Flex. delivery",0.394366197183099,0.558139534883721,0
"Flex. adherence",0.115166771554437,0.135135135135135,0
"Follow-up",0.0579710144927537,0.557692307692308,0
"Outcome",0.245484949832776,0.74468085106383,0
"Analysis",0.614173228346457,0.666666666666667,0
