"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"100","0","1","1","deferred","0","1","1","1","1","1","0"
"102","0","deferred","deferred","0","0","deferred","0","deferred","NA","deferred","0"
"103","deferred","0","deferred","0","0","1","0","deferred","deferred","deferred","0"
"104","0","deferred","deferred","0","0","1","0","deferred","NA","deferred","0"
"105","deferred","deferred","deferred","0","0","1","0","0","NA","0","0"
"106","deferred","0","deferred","0","deferred","1","1","1","deferred","deferred","0"
"107","deferred","1","1","1","deferred","1","1","1","deferred","0","1"
"109","deferred","1","0","deferred","deferred","1","deferred","deferred","1","deferred","deferred"
"110","0","deferred","deferred","0","deferred","1","0","deferred","NA","0","0"
"111","0","0","0","0","0","0","0","0","NA","0","0"
"112","deferred","1","1","deferred","deferred","deferred","1","1","1","deferred","0"
"113","deferred","deferred","deferred","0","0","deferred","deferred","deferred","NA","deferred","0"
"115","deferred","1","deferred","0","0","1","deferred","deferred","1","deferred","deferred"
"116","0","deferred","1","0","0","1","1","deferred","1","0","deferred"
"117","1","1","1","1","0","1","deferred","deferred","deferred","deferred","0"
"118","deferred","1","deferred","deferred","0","1","deferred","deferred","1","deferred","0"
"119","deferred","1","deferred","0","deferred","1","deferred","deferred","NA","deferred","0"
"120","deferred","deferred","1","0","0","1","1","0","deferred","1","deferred"
"121","1","1","deferred","0","1","1","0","deferred","1","1","deferred"
"122","1","deferred","1","1","1","1","deferred","deferred","deferred","deferred","deferred"
"123","deferred","1","1","0","deferred","1","0","deferred","deferred","deferred","deferred"
"124","0","1","1","0","0","1","deferred","deferred","deferred","deferred","0"
"125","deferred","0","1","0","0","1","deferred","deferred","deferred","0","deferred"
"126","deferred","deferred","deferred","0","0","1","0","deferred","deferred","deferred","deferred"
"127","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","0","deferred"
"129","deferred","1","1","0","deferred","1","1","deferred","deferred","deferred","0"
"131","deferred","deferred","deferred","0","0","1","deferred","deferred","NA","deferred","deferred"
"132","0","0","1","deferred","0","1","0","deferred","NA","0","deferred"
"133","0","0","deferred","0","0","deferred","0","deferred","deferred","0","0"
"134","deferred","deferred","deferred","deferred","0","deferred","0","deferred","deferred","0","deferred"
"135","deferred","deferred","1","deferred","deferred","1","deferred","deferred","NA","deferred","0"
"136","0","0","deferred","0","0","1","0","deferred","deferred","deferred","0"
"137","0","deferred","1","1","0","1","deferred","deferred","1","0","0"
"138","deferred","deferred","1","0","deferred","1","deferred","deferred","1","deferred","0"
"139","deferred","deferred","0","deferred","0","1","0","deferred","deferred","0","0"
"140","deferred","0","0","deferred","deferred","deferred","deferred","deferred","NA","deferred","0"
"141","deferred","0","0","deferred","0","1","deferred","1","NA","deferred","0"
"142","1","1","1","1","deferred","1","1","1","1","1","0"
"145","0","1","deferred","deferred","0","1","1","deferred","NA","deferred","0"
"146","deferred","1","1","1","0","1","1","1","deferred","deferred","deferred"
"147","deferred","deferred","deferred","0","deferred","1","1","deferred","deferred","0","0"
"148","0","1","deferred","0","1","1","1","1","deferred","deferred","0"
"149","0","0","deferred","0","0","1","1","1","NA","0","deferred"
"151","0","deferred","1","deferred","1","1","deferred","deferred","1","1","0"
"154","deferred","deferred","deferred","0","deferred","1","1","1","deferred","deferred","0"
"155","1","1","deferred","0","deferred","1","1","deferred","1","deferred","0"
"156","deferred","0","deferred","0","deferred","1","0","deferred","NA","0","1"
"157","1","deferred","1","1","1","deferred","deferred","deferred","deferred","deferred","1"
"159","deferred","1","deferred","deferred","0","deferred","deferred","deferred","deferred","0","deferred"
"160","1","1","1","1","0","deferred","deferred","deferred","deferred","deferred","deferred"
"161","deferred","1","1","0","0","1","deferred","deferred","deferred","deferred","deferred"
"162","deferred","1","1","0","deferred","1","1","1","deferred","deferred","deferred"
"163","deferred","0","deferred","0","0","0","0","deferred","NA","deferred","0"
"164","0","deferred","deferred","0","deferred","1","0","deferred","1","1","0"
"165","deferred","0","deferred","0","deferred","1","0","deferred","deferred","0","deferred"
"166","0","deferred","1","1","deferred","1","1","1","deferred","deferred","0"
"167","deferred","1","1","deferred","0","1","deferred","deferred","deferred","deferred","0"
"168","0","1","deferred","0","deferred","1","0","deferred","NA","deferred","0"
"170","deferred","0","deferred","0","0","1","0","deferred","NA","0","deferred"
"171","deferred","deferred","1","0","0","1","0","0","deferred","0","0"
"61","0","deferred","1","1","0","1","0","deferred","NA","0","0"
"62","0","0","1","0","0","1","0","deferred","NA","deferred","0"
"63","0","deferred","deferred","0","deferred","1","0","deferred","deferred","deferred","0"
"64","1","1","deferred","deferred","deferred","1","deferred","deferred","1","0","deferred"
"65","0","1","1","deferred","0","1","1","deferred","1","0","0"
"66","0","0","deferred","0","0","1","0","deferred","deferred","0","0"
"67","0","0","1","0","0","1","0","deferred","deferred","deferred","deferred"
"68","deferred","1","deferred","0","deferred","1","1","deferred","1","1","0"
"69","0","deferred","deferred","deferred","deferred","1","0","deferred","deferred","deferred","0"
"70","deferred","deferred","1","0","0","1","1","0","deferred","deferred","1"
"71","deferred","1","1","0","deferred","1","0","deferred","1","deferred","deferred"
"72","deferred","0","deferred","0","deferred","deferred","0","deferred","deferred","0","0"
"73","deferred","deferred","deferred","0","0","deferred","deferred","deferred","NA","0","0"
"75","0","deferred","1","deferred","0","1","1","deferred","NA","0","0"
"76","deferred","deferred","1","0","deferred","1","deferred","deferred","deferred","deferred","0"
"77","deferred","1","deferred","0","deferred","1","0","deferred","1","deferred","deferred"
"78","0","deferred","1","0","0","1","0","deferred","1","deferred","deferred"
"79","0","1","0","0","deferred","1","0","deferred","NA","deferred","0"
"81","1","deferred","1","deferred","0","1","1","1","deferred","deferred","deferred"
"82","deferred","1","1","deferred","deferred","1","deferred","1","deferred","deferred","0"
"83","1","deferred","1","deferred","deferred","1","0","deferred","NA","0","deferred"
"84","deferred","deferred","deferred","0","0","1","1","deferred","deferred","deferred","deferred"
"85","deferred","0","deferred","deferred","0","1","1","1","NA","0","0"
"86","deferred","0","0","0","0","1","deferred","deferred","NA","deferred","0"
"87","deferred","deferred","1","deferred","1","1","1","deferred","deferred","deferred","deferred"
"88","deferred","1","1","deferred","deferred","1","1","1","1","1","deferred"
"89","0","0","deferred","0","deferred","1","0","deferred","deferred","0","deferred"
"90","deferred","1","deferred","0","0","1","0","deferred","deferred","0","0"
"91","deferred","0","0","0","deferred","1","deferred","0","1","0","deferred"
"92","0","0","1","0","0","1","0","deferred","deferred","deferred","0"
"93","deferred","0","deferred","0","0","1","0","0","deferred","0","0"
"94","0","0","deferred","deferred","0","1","0","0","NA","0","0"
"95","deferred","0","1","0","0","1","0","deferred","deferred","deferred","1"
"96","deferred","0","deferred","0","0","1","0","deferred","NA","deferred","deferred"
"97","0","deferred","1","0","0","0","deferred","deferred","NA","0","0"
"98","deferred","deferred","deferred","0","deferred","1","deferred","deferred","1","deferred","0"
"99","0","deferred","deferred","deferred","0","1","0","deferred","NA","deferred","0"
