"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.832042658399427,0.901870943108056,0
"P1",0.166189111747851,0.907216494845361,0
"P2",0.950686324351805,0.989690721649485,0
"P3",0.662020905923345,0.989690721649485,0
"P4",0.783964365256125,0.969072164948454,0
"P5",0.852058973055414,0.969072164948454,0
"P6",0.884843688167788,0.969072164948454,0
"P7",0.889041409288492,0.948453608247423,0
"P8",0.823395539371871,0.917525773195876,0
"P9",0.645338208409506,0.958762886597938,0
"P10",0.956306306306306,0.979381443298969,0
"P11",0.959465106560802,0.989690721649485,0
"P12",0.914121292607348,0.958762886597938,0
"P13",0.855574167131956,0.917525773195876,0
"P14",0.905568535825545,0.948453608247423,0
"P15",0.34341155234657,0.536082474226804,0
"P16",0.359611650485437,0.649484536082474,0
"P17",1,1,0
"P18",0.936058009228741,0.979381443298969,0
"P19",0.931448763250883,0.969072164948454,0
"P20",0.906927653041643,0.948453608247423,0
"P21",0.945104697226938,0.969072164948454,0
"P22",0.354311649016641,0.54639175257732,0
"P23",0.367194780987884,0.639175257731959,0
"P24",0.736310679611651,0.927835051546392,0
"P25",0.747505422993492,0.876288659793814,0
"P26",-0.0157068062827226,0.958762886597938,0
"P27",0.823636363636364,0.938144329896907,0
