"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.797510739139035,0.889409559512652,0
"A1",1,1,0
"A2",0.876485568760611,0.938144329896907,0
"A3",0.958404802744425,0.979381443298969,0
"A4",0.969078737647434,0.989690721649485,0
"A5",0.92777364110201,0.989690721649485,0
"A6",0.863827795975667,0.969072164948454,0
"A7",0.918350168350168,0.958762886597938,0
"A8",0.857442788158723,0.927835051546392,0
"A9",0.736413043478261,0.855670103092783,0
"A10",0.365736704446382,0.536082474226804,0
"A11",0.0944251800480128,0.639175257731959,0
