"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.762492469026073,0.673054308109518,0.83959065002006,0.774390243902439,0.705515453572233,0.841528361650619,0.674603174603175,0.627034533870646,0.718253968253968
"Eligibility",0.685393258426966,NA,NA,0.722222222222222,NA,NA,0.678571428571429,NA,NA
"Recruitment",0.715625,NA,NA,0.789473684210526,NA,NA,0.660714285714286,NA,NA
"Setting",0.478584729981378,NA,NA,0.705882352941177,NA,NA,0.696428571428571,NA,NA
"Organization",0.700305810397553,NA,NA,0.692307692307692,NA,NA,0.767857142857143,NA,NA
"Flex. delivery",0.804081632653061,NA,NA,0.769230769230769,NA,NA,0.767857142857143,NA,NA
"Flex. adherence",0.765908035299582,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Follow-up",0.780607247796278,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Outcome",0.685393258426966,NA,NA,0.866666666666667,NA,NA,0.464285714285714,NA,NA
"Analysis",0.68424543946932,NA,NA,0.75,NA,NA,0.642857142857143,NA,NA
