publication_id,quote,best_match_source,best_match,similarity
1528,"Participants were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",fulltext,"Participants: People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale,8 thus confirming they had low mood.",100.0
1528,"Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.",fulltext,"Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.",100.0
1528,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1528,"The total running costs for the programme were £17,824. This was based on 54 three-hour sessions (including room hire and refreshments) and the salary of two NHS Band 5 assistant psychologists and one Band 8a clinical psychologist.",fulltext,"The total running costs for the programme were £17,824. This was based on 54 three-hour sessions (including room hire and refreshments) and the salary of two NHS Band 5 assistant psychologists and one Band 8a clinical psychologist.",100.0
1528,Participants randomly allocated to the adjustment group received six group treatment sessions.,fulltext,Participants randomly allocated to the adjustment group received six group treatment sessions.,100.0
1528,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,fulltext,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,100.0
1528,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,"Outcomes were assessed four and eight months after randomization, blind to group allocation. The costs were assessed from a service use questionnaire and information provided on medication. Quality of life was assessed using the EQ-5D.",fulltext,"Outcomes were assessed four and eight months after randomization, blind to group allocation. The costs were assessed from a service use questionnaire and information provided on medication. Quality of life was assessed using the EQ-5D.",100.0
1528,"Owing to the level of missing EQ-5D data at follow-up, a ‘last value carried forward’ imputation approach was adopted.",fulltext,"Owing to the level of missing EQ-5D data at follow-up, a ‘last value carried forward’ imputation approach was adopted.",100.0
1529,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",fulltext,"The inclusion criteria were being definitely diagnosed with MS and having records in the Society and the exclusion criteria having history of other psychiatric disorders including major depressive disorder (according to the medical records and the physician's examinations) or bipolar disorder (except for cognitive disorders by which MS is characterized), substance dependency, any neurological disorders, history of taking corticosteroids or the disease recurrence within the previous six months.",100.0
1529,"To follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1–70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.",fulltext,"To follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants. Accordingly, 70 numbers, equal to the number of people required in each group, were developed and the numbers 1–70 were randomly assigned to two groups: experimental and control. After eligible patients referred to the Association, a number was randomly assigned to each patient according to his/her referring time and the patients were assigned to the two groups.",100.0
1529,"This training program was conducted within eight 1- to 1.5-h sessions, two sessions a week through lecturing, group discussions, and question and answering, such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills of the subject of interest in the second half-time.",fulltext,"This training program was conducted within eight 1- to 1.5-h sessions, two sessions a week through lecturing, group discussions, and question and answering, such that the scientific materials were offered within the first half-time of each session and, after a rest, the group discussions and questioning and answering were run about the drills of the subject of interest in the second half-time.",100.0
1529,"To measure fatigue, the Piper Standard Scale was used. This scale consists of 27 items that measures fatigue in terms of four domains: behavioral, affective, tactile, and cognitive.",fulltext,"To measure fatigue, the Piper Standard Scale was used. This scale consists of 27 items that measures fatigue in terms of four domains: behavioral, affective, tactile, and cognitive.",100.0
1529,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",fulltext,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",100.0
1529,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",fulltext,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",100.0
1567,Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.,fulltext,Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.,100.0
1567,"The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.",fulltext,"The Perceived Deficits Questionnaire19 was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.",100.0
1567,"Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.",fulltext,"Participants were recruited via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites.",100.0
1567,The 347 persons who were initially screened as “eligible” were later contacted by phone to invite their participation during specific dates.,fulltext,The 347 persons who were initially screened as “eligible” were later contacted by phone to invite their participation during specific dates.,100.0
1567,"Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas.",fulltext,"Following approval by the Institutional Review Board for the University of Texas at Austin, participants were recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas.",100.0
1567,The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence. The intervention includes group sessions (2 h per week for 8 weeks) focused on building efficacy for use of cognitive strategies and a home-based computer training program (45 min three times per week).,fulltext,The MAPSS-MS intervention aims to help persons with MS acquire the highest level of cognitive functioning and functional independence. The intervention includes group sessions (2 h per week for 8 weeks) focused on building efficacy for use of cognitive strategies and a home-based computer training program (45 min three times per week).,100.0
1567,"Based on the integration of Bandura’s self-efficacy theory20 with the investigators’ prior intervention studies,21,22 the program’s conceptual model proposes accurate knowledge of cognitive problems, lifestyle adjustments (sleep, stress management, physical activity) that support cognitive functioning, and self-efficacy to manage cognitive challenges will support persons with MS in the use of compensatory cognitive strategies and cognitive skills.",fulltext,"Based on the integration of Bandura’s self-efficacy theory20 with the investigators’ prior intervention studies,21,22 the program’s conceptual model proposes accurate knowledge of cognitive problems, lifestyle adjustments (sleep, stress management, physical activity) that support cognitive functioning, and self-efficacy to manage cognitive challenges will support persons with MS in the use of compensatory cognitive strategies and cognitive skills.",100.0
1567,"The first four sessions focused on common cognitive problems experienced with MS (attention and processing speed, memory and language, visuospatial and executive functioning) and development of relevant compensatory strategies. The final four sessions focused on lifestyle behaviors to support cognitive functioning, including managing fatigue and stress and increasing physical activity.",fulltext,"The first four sessions focused on common cognitive problems experienced with MS (attention and processing speed, memory and language, visuospatial and executive functioning) and development of relevant compensatory strategies. The final four sessions focused on lifestyle behaviors to support cognitive functioning, including managing fatigue and stress and increasing physical activity.",100.0
1567,"Although individuals varied their computer training time from week to week, 68% met or exceeded the total time prescribed over the 8-week intervention. About half met or exceeded the goal each week.",fulltext,"Although individuals varied their computer training time from week to week, 68% met or exceeded the total time prescribed over the 8-week intervention. About half met or exceeded the goal each week.",100.0
1567,"Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.",fulltext,"Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.",100.0
1567,"Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games. Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention.",fulltext,"Persons with MS (N = 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games. Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention.",100.0
1567,"Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.",fulltext,"Changes in study outcomes were analyzed using intention to treat methodology, ANOVA with repeated measures, and ANCOVA.",100.0
1568,"Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.",fulltext,"Inclusion criteria were (1) 18–60  years of age, (2) ⩽2 years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8 weeks prior to inclusion.",100.0
1568,Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.,fulltext,Patients (n = 84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.,100.0
