"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.156760650030761,0.303571428571429,0
"Eligibility",-0.0639386189258311,0.25,0
"Recruitment",0.225157232704402,0.303571428571429,0
"Setting",0.274978891077962,0.339285714285714,0
"Organization",0.0680517277930889,0.214285714285714,0
"Flex. delivery",0.115968427443837,0.142857142857143,0
"Flex. adherence",0.120998640464714,0.410714285714286,0
"Follow-up",0.127116366568127,0.267857142857143,0
"Outcome",-0.112970711297071,0.482142857142857,0
"Analysis",0.0504816955684008,0.321428571428571,0
