"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","4","deferred","NA","4","3","deferred","deferred","deferred","4"
"1529","3","4","deferred","deferred","2","3","deferred","5","deferred"
"1567","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","5","2"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","4","4","3","4","deferred","deferred","deferred","5","deferred"
"1769","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1770","4","NA","5","deferred","4","deferred","deferred","5","5"
"1771","NA","4","deferred","deferred","deferred","deferred","deferred","5","5"
"1772","4","4","deferred","deferred","deferred","deferred","deferred","5","5"
"1773","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"648","4","5","5","deferred","5","deferred","5","5","5"
"650","deferred","3","5","4","5","5","4","5","deferred"
"651","deferred","deferred","5","deferred","deferred","deferred","3","5","5"
"655","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"657","5","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"662","deferred","deferred","deferred","deferred","3","deferred","deferred","3","deferred"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"664","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"665","4","deferred","deferred","deferred","2","deferred","4","deferred","deferred"
"666","4","deferred","deferred","deferred","3","3","deferred","deferred","4"
"668","deferred","deferred","deferred","deferred","3","deferred","3","5","5"
"669","4","4","5","deferred","4","deferred","deferred","5","5"
"670","5","5","5","5","5","4","deferred","5","5"
"671","4","4","4","deferred","deferred","deferred","deferred","4","deferred"
"673","3","4","5","3","deferred","deferred","deferred","5","deferred"
"674","3","NA","deferred","2","2","NA","3","4","4"
"675","3","4","deferred","3","3","3","3","4","4"
"677","4","3","5","3","deferred","deferred","deferred","5","deferred"
"678","deferred","5","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"679","4","deferred","deferred","deferred","deferred","3","deferred","5","deferred"
"680","3","deferred","deferred","4","2","deferred","deferred","5","deferred"
"681","2","deferred","deferred","3","deferred","deferred","deferred","5","5"
"682","3","4","deferred","deferred","4","deferred","4","deferred","4"
"684","deferred","deferred","5","NA","deferred","NA","NA","deferred","deferred"
"685","5","deferred","5","5","5","5","5","5","5"
"686","4","3","deferred","3","3","NA","deferred","4","deferred"
"687","3","4","deferred","deferred","3","deferred","deferred","4","4"
"688","4","4","deferred","3","4","deferred","deferred","5","5"
"689","3","4","4","4","3","deferred","4","deferred","deferred"
"690","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"691","4","4","4","4","2","deferred","deferred","5","3"
"692","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"693","3","deferred","deferred","2","3","3","deferred","deferred","deferred"
"694","4","NA","deferred","NA","deferred","deferred","deferred","5","deferred"
"695","3","deferred","5","deferred","3","3","deferred","5","deferred"
"696","3","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"705","deferred","deferred","deferred","3","3","deferred","deferred","5","5"
"712","2","4","2","2","3","4","3","deferred","deferred"
"713","deferred","deferred","2","deferred","deferred","NA","deferred","deferred","deferred"
"714","3","4","5","deferred","5","5","deferred","5","5"
"715","4","4","5","4","4","4","deferred","5","5"
"722","4","deferred","5","deferred","deferred","4","deferred","4","5"
"725","5","5","5","5","5","deferred","5","5","5"
"733","4","4","4","4","4","deferred","4","deferred","deferred"
