"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.62680488707886,0.509330451760986,0.736960087066262,0.788819875776398,0.725507986744262,0.850568753208819,0.680555555555556,0.642907549743662,0.714285714285714
"Eligibility",0.263157894736842,NA,NA,0.666666666666667,NA,NA,0.785714285714286,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.642857142857143,NA,NA
"Setting",0.348837209302326,NA,NA,0.869565217391304,NA,NA,0.589285714285714,NA,NA
"Organization",0.320388349514563,NA,NA,0.545454545454545,NA,NA,0.803571428571429,NA,NA
"Flex. delivery",0.557312252964427,NA,NA,0.75,NA,NA,0.857142857142857,NA,NA
"Flex. adherence",0.65,NA,NA,0.8,NA,NA,0.464285714285714,NA,NA
"Follow-up",0.561030235162374,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
"Outcome",0.240963855421687,NA,NA,0.739130434782609,NA,NA,0.589285714285714,NA,NA
"Analysis",0.673944687045124,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
