"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.720425689279698,0.623452589244367,0.816737208772598,0.847457627118644,0.792904591934463,0.901085840205228,0.648809523809524,0.597222222222222,0.698412698412698
"Eligibility",0.411764705882353,NA,NA,0.761904761904762,NA,NA,0.625,NA,NA
"Recruitment",0.923705722070845,NA,NA,0.952380952380952,NA,NA,0.625,NA,NA
"Setting",0.3,NA,NA,0.928571428571429,NA,NA,0.75,NA,NA
"Organization",0.557894736842105,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.737089201877934,NA,NA,0.866666666666667,NA,NA,0.732142857142857,NA,NA
"Flex. adherence",0.590243902439024,NA,NA,0.76,NA,NA,0.553571428571429,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.767857142857143,NA,NA
"Outcome",0.518900343642612,NA,NA,0.827586206896552,NA,NA,0.482142857142857,NA,NA
"Analysis",0.75303197353914,NA,NA,0.826086956521739,NA,NA,0.589285714285714,NA,NA
