"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.614831211953514,0.446493478975014,0.774130852882213,0.825503355704698,0.755256960745062,0.892066464598995,0.704365079365079,0.656746031746032,0.751984126984127
"Eligibility",0.348837209302326,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Recruitment",0.691176470588235,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Setting",0.232876712328767,NA,NA,0.904761904761905,NA,NA,0.625,NA,NA
"Organization",0.82051282051282,NA,NA,0.9375,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.654320987654321,NA,NA,0.8,NA,NA,0.821428571428571,NA,NA
"Flex. adherence",0.513043478260869,NA,NA,0.636363636363636,NA,NA,0.803571428571429,NA,NA
"Follow-up",0.105022831050228,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
"Outcome",0.604240282685512,NA,NA,0.857142857142857,NA,NA,0.5,NA,NA
"Analysis",0.776892430278884,NA,NA,0.846153846153846,NA,NA,0.767857142857143,NA,NA
