"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.225373311680596,0.373056994818653,0.59538784067086
"Eligibility",-0.24320987654321,0.238095238095238,0.60377358490566
"Recruitment",0.518642447418738,0.555555555555556,0.660377358490566
"Setting",0.319007532122286,0.222222222222222,0.660377358490566
"Organization",0.0130676249591638,0.32,0.528301886792453
"Flex. delivery",0.306686046511628,0.285714285714286,0.60377358490566
"Flex. adherence",0.0551409618573798,0.45,0.622641509433962
"Follow-up",0.154255319148936,0.375,0.547169811320755
"Outcome",-0.234886649874055,0.458333333333333,0.547169811320755
"Analysis",0.218124341412013,0.454545454545455,0.584905660377358
