"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","4","deferred","deferred","5","deferred","deferred"
"1529","3","deferred","NA","deferred","deferred","deferred","deferred","5","NA"
"1567","deferred","3","deferred","deferred","deferred","deferred","NA","deferred","deferred"
"1568","4","deferred","deferred","deferred","deferred","2","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","deferred","4","deferred","deferred","5","5"
"1570","deferred","deferred","3","deferred","deferred","deferred","5","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","NA","deferred","4","deferred","NA","deferred","deferred","5"
"1771","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","5"
"1772","deferred","deferred","4","deferred","deferred","NA","4","5","5"
"1773","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","deferred","deferred","deferred","deferred","deferred","5","5","deferred"
"650","4","deferred","5","deferred","5","deferred","deferred","5","deferred"
"651","deferred","deferred","5","deferred","deferred","4","deferred","5","deferred"
"655","deferred","deferred","5","deferred","5","deferred","deferred","deferred","deferred"
"657","deferred","deferred","4","deferred","deferred","4","deferred","5","deferred"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"663","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","4","4","deferred","deferred","deferred","deferred","5","5"
"665","4","4","deferred","deferred","deferred","deferred","4","deferred","deferred"
"666","4","deferred","deferred","deferred","deferred","deferred","3","deferred","4"
"668","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","5"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","5","5","deferred","deferred","5","deferred","deferred","5","5"
"671","deferred","deferred","deferred","deferred","3","deferred","3","4","3"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"674","3","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"678","deferred","5","deferred","deferred","NA","NA","deferred","deferred","deferred"
"679","4","deferred","deferred","4","deferred","deferred","4","5","3"
"680","deferred","3","deferred","4","deferred","deferred","deferred","5","deferred"
"681","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"682","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","4","deferred","5","deferred","deferred","NA","deferred","deferred","NA"
"685","5","deferred","5","deferred","5","deferred","5","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"688","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"690","4","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"691","4","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"692","4","deferred","5","deferred","deferred","deferred","4","5","deferred"
"693","deferred","NA","deferred","deferred","3","deferred","deferred","3","NA"
"694","deferred","NA","deferred","NA","deferred","NA","deferred","5","5"
"695","deferred","deferred","deferred","deferred","deferred","deferred","3","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","3","deferred","deferred","deferred","deferred","deferred","4","deferred","5"
"705","deferred","2","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"713","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"714","deferred","deferred","5","deferred","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","deferred","4","deferred","4","5","5"
"722","deferred","deferred","5","5","5","deferred","deferred","deferred","5"
"725","5","5","5","5","5","deferred","5","5","deferred"
"733","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
