"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.765930011939869,0.877225866916589,0
"A1",0.833190025795357,0.958762886597938,0
"A2",0.690623006591537,0.845360824742268,0
"A3",0.635901965113712,0.824742268041237,0
"A4",0.878446115288221,0.958762886597938,0
"A5",0.638868205510052,0.948453608247423,0
"A6",0.751706484641638,0.938144329896907,0
"A7",0.79492600422833,0.896907216494845,0
"A8",0.775981524249423,0.88659793814433,0
"A9",0.750395882818686,0.865979381443299,0
"A10",0.789952360329147,0.896907216494845,0
"A11",0.0633047210300429,0.628865979381443,0
