"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1567","5","deferred","5","deferred","deferred","deferred","deferred","5","5"
"1568","4","4","deferred","3","3","deferred","4","deferred","deferred"
"1569","5","5","5","5","deferred","deferred","deferred","5","5"
"1570","deferred","NA","deferred","NA","deferred","NA","deferred","NA","NA"
"650","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"662","deferred","4","5","deferred","5","5","deferred","5","5"
"663","deferred","deferred","5","deferred","deferred","5","deferred","deferred","deferred"
"665","deferred","deferred","5","5","5","deferred","deferred","deferred","deferred"
"668","deferred","3","5","5","5","deferred","deferred","deferred","5"
"671","5","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"679","deferred","5","deferred","deferred","deferred","deferred","deferred","5","deferred"
"680","deferred","deferred","deferred","deferred","5","deferred","deferred","5","deferred"
"684","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"691","4","deferred","deferred","4","deferred","NA","4","deferred","deferred"
"697","deferred","deferred","deferred","4","4","deferred","deferred","deferred","5"
"705","5","deferred","deferred","5","5","deferred","5","5","5"
"722","deferred","deferred","5","5","5","5","deferred","5","5"
