"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.785076747731612,0.866071428571429,0
"A1",0.741339491916859,0.982142857142857,0
"A2",0.818647955741465,0.892857142857143,0
"A3",0.595375722543353,0.955357142857143,0
"A4",0.717800503927672,0.848214285714286,0
"A5",0.680478195897297,0.8125,0
"A6",0.683883714366356,0.910714285714286,0
"A7",0.757247358439447,0.857142857142857,0
"A8",0.599284436493739,0.75,0
"A9",0.719727512859725,0.839285714285714,0
"A10",0.761084869724211,0.875,0
"A11",0.695802469135802,0.803571428571429,0
