"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","3","3","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1529","3","deferred","NA","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","deferred","5","3","deferred","deferred","deferred","deferred","deferred"
"1568","deferred","4","4","3","3","deferred","deferred","4","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred"
"1769","deferred","NA","deferred","NA","deferred","NA","deferred","deferred","deferred"
"1770","deferred","deferred","4","deferred","deferred","NA","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1773","4","4","deferred","deferred","deferred","deferred","2","3","deferred"
"648","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"655","deferred","deferred","deferred","deferred","deferred","deferred","3","3","deferred"
"657","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"662","deferred","4","5","4","deferred","deferred","3","5","5"
"663","deferred","deferred","5","deferred","deferred","deferred","NA","deferred","deferred"
"664","3","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"665","deferred","4","5","5","5","deferred","deferred","2","deferred"
"666","deferred","NA","5","deferred","NA","4","deferred","deferred","deferred"
"668","deferred","deferred","deferred","5","deferred","NA","deferred","deferred","deferred"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred"
"671","deferred","deferred","5","4","3","deferred","deferred","4","deferred"
"673","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"674","3","deferred","deferred","deferred","deferred","NA","2","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"677","deferred","deferred","3","5","deferred","NA","4","5","deferred"
"678","deferred","deferred","deferred","4","deferred","NA","3","deferred","4"
"679","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"680","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"681","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"685","5","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"688","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"690","4","deferred","4","deferred","5","NA","deferred","5","4"
"691","4","deferred","deferred","deferred","3","deferred","4","deferred","5"
"692","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","NA","deferred","3","deferred"
"694","deferred","NA","3","deferred","deferred","deferred","deferred","deferred","deferred"
"695","deferred","deferred","deferred","deferred","deferred","NA","3","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","NA","deferred","4","deferred"
"697","3","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"712","deferred","5","deferred","deferred","deferred","NA","deferred","5","deferred"
"713","deferred","deferred","3","deferred","deferred","NA","deferred","deferred","deferred"
"714","4","5","5","5","deferred","NA","deferred","deferred","deferred"
"715","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"722","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","5"
"725","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"733","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
