"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","NA","NA","4","5","5"
"1529","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","5","4","deferred","deferred","deferred","4","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1769","deferred","deferred","deferred","5","deferred","NA","deferred","deferred","NA"
"1770","deferred","NA","deferred","deferred","NA","NA","deferred","deferred","NA"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","4","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1773","4","deferred","deferred","deferred","2","deferred","deferred","deferred","deferred"
"648","4","NA","5","deferred","deferred","NA","4","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","NA","3","4","3"
"651","deferred","deferred","5","deferred","deferred","deferred","4","5","5"
"655","deferred","NA","5","NA","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"662","deferred","deferred","deferred","deferred","3","deferred","deferred","5","deferred"
"663","deferred","4","deferred","deferred","deferred","deferred","4","5","deferred"
"664","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"665","deferred","deferred","deferred","4","4","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","3","5","5"
"668","4","4","5","deferred","5","deferred","4","5","deferred"
"669","4","4","5","5","deferred","deferred","deferred","5","5"
"670","5","5","deferred","5","deferred","deferred","deferred","5","deferred"
"671","deferred","5","5","5","deferred","deferred","deferred","5","deferred"
"673","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"674","3","deferred","deferred","3","deferred","deferred","deferred","5","NA"
"675","deferred","deferred","NA","deferred","deferred","deferred","deferred","5","5"
"677","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","NA"
"678","3","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"679","4","4","deferred","deferred","deferred","deferred","deferred","5","5"
"680","deferred","3","deferred","4","deferred","4","4","5","deferred"
"681","4","deferred","5","4","deferred","deferred","4","deferred","deferred"
"682","4","deferred","5","deferred","5","deferred","deferred","deferred","deferred"
"684","4","4","5","deferred","deferred","5","deferred","5","deferred"
"685","5","deferred","deferred","3","deferred","NA","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","5","5","deferred","deferred","deferred","deferred","5","deferred"
"689","deferred","deferred","deferred","deferred","deferred","deferred","3","5","deferred"
"690","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"691","4","4","deferred","deferred","3","5","4","5","5"
"692","deferred","5","5","4","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","3","NA"
"694","deferred","4","deferred","deferred","4","deferred","4","deferred","deferred"
"695","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"697","deferred","deferred","deferred","4","4","deferred","4","5","deferred"
"705","deferred","3","deferred","4","deferred","4","3","5","deferred"
"712","deferred","5","deferred","deferred","2","deferred","deferred","5","deferred"
"713","deferred","4","deferred","NA","5","deferred","deferred","5","deferred"
"714","deferred","deferred","deferred","4","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","deferred","5","deferred","4","5","deferred"
"722","4","deferred","5","5","5","deferred","deferred","deferred","deferred"
"725","deferred","deferred","5","5","deferred","deferred","deferred","5","deferred"
"733","deferred","4","5","4","deferred","deferred","deferred","deferred","deferred"
