"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.906558890841899,0.878480480675642,0.932901241522551,0.947712418300654,0.931849396128985,0.962666666666667,0.379058441558442,0.354707792207792,0.405032467532468
"A1",0.938931297709924,NA,NA,0.978723404255319,NA,NA,0.580357142857143,NA,NA
"A2",0.831325301204819,NA,NA,0.914634146341463,NA,NA,0.267857142857143,NA,NA
"A3",0.868903628560281,NA,NA,0.930232558139535,NA,NA,0.616071428571429,NA,NA
"A4",0.895131086142322,NA,NA,0.975308641975309,NA,NA,0.276785714285714,NA,NA
"A5",0.856133590237636,NA,NA,0.974683544303797,NA,NA,0.294642857142857,NA,NA
"A6",0.936723163841808,NA,NA,0.989473684210526,NA,NA,0.151785714285714,NA,NA
"A7",0.927710843373494,NA,NA,0.962025316455696,NA,NA,0.294642857142857,NA,NA
"A8",0.932773109243697,NA,NA,0.964285714285714,NA,NA,0.75,NA,NA
"A9",0.957559681697613,NA,NA,0.978021978021978,NA,NA,0.1875,NA,NA
"A10",0.429299363057325,NA,NA,0.578947368421053,NA,NA,0.660714285714286,NA,NA
"A11",0.450980392156863,NA,NA,0.980392156862745,NA,NA,0.0892857142857143,NA,NA
