"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.915792273100914,0.888352948044279,0.93896197998945,0.952248750694059,0.93682765366046,0.965722073258894,0.399065732399066,0.368368368368368,0.435093291601333
"P1",0.294277929155313,NA,NA,0.930693069306931,NA,NA,0.0900900900900901,NA,NA
"P2",0.822825219473264,NA,NA,0.939393939393939,NA,NA,0.702702702702703,NA,NA
"P3",0.45049504950495,NA,NA,0.99009900990099,NA,NA,0.0900900900900901,NA,NA
"P4",0.717557251908397,NA,NA,0.967032967032967,NA,NA,0.18018018018018,NA,NA
"P5",0.948895027624309,NA,NA,0.9875,NA,NA,0.279279279279279,NA,NA
"P6",0.885625965996909,NA,NA,0.977011494252874,NA,NA,0.216216216216216,NA,NA
"P7",0.796703296703297,NA,NA,0.882352941176471,NA,NA,0.540540540540541,NA,NA
"P8",0.854664484451718,NA,NA,0.933333333333333,NA,NA,0.459459459459459,NA,NA
"P9",0.617241379310345,NA,NA,0.960526315789474,NA,NA,0.315315315315315,NA,NA
"P10",0.934493951017999,NA,NA,0.969230769230769,NA,NA,0.414414414414414,NA,NA
"P11",1,NA,NA,1,NA,NA,0.351351351351351,NA,NA
"P12",0.934163701067616,NA,NA,0.967213114754098,NA,NA,0.45045045045045,NA,NA
"P13",0.870742358078603,NA,NA,0.927272727272727,NA,NA,0.504504504504504,NA,NA
"P14",0.973546234509056,NA,NA,0.986111111111111,NA,NA,0.351351351351351,NA,NA
"P15",0.779214321233217,NA,NA,0.846153846153846,NA,NA,0.765765765765766,NA,NA
"P16",0.56881243063263,NA,NA,0.879310344827586,NA,NA,0.477477477477477,NA,NA
"P17",1,NA,NA,1,NA,NA,0.315315315315315,NA,NA
"P18",0.921471524584365,NA,NA,0.977272727272727,NA,NA,0.207207207207207,NA,NA
"P19",0.878511492156147,NA,NA,0.945454545454545,NA,NA,0.504504504504504,NA,NA
"P20",0.958751393534002,NA,NA,0.977777777777778,NA,NA,0.594594594594595,NA,NA
"P21",1,NA,NA,1,NA,NA,0.414414414414414,NA,NA
"P22",0.807291666666667,NA,NA,0.863636363636364,NA,NA,0.801801801801802,NA,NA
"P23",0.702412868632708,NA,NA,0.915254237288136,NA,NA,0.468468468468468,NA,NA
"P24",0.587190082644628,NA,NA,0.886075949367089,NA,NA,0.288288288288288,NA,NA
"P25",0.755102040816327,NA,NA,0.880597014925373,NA,NA,0.396396396396396,NA,NA
"P26",0.677325581395349,NA,NA,0.988372093023256,NA,NA,0.225225225225225,NA,NA
"P27",0.817253868949621,NA,NA,0.928571428571429,NA,NA,0.369369369369369,NA,NA
