"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","1","deferred","deferred","1","1","deferred","1","deferred","deferred","1","1","1","0"
"101","deferred","deferred","1","deferred","0","1","1","0","1","deferred","0","deferred","NA","NA","deferred","NA","1","1","deferred","NA","NA","deferred","NA","1","0","1","0"
"102","deferred","0","1","deferred","0","deferred","0","0","0","0","0","0","deferred","deferred","deferred","deferred","0","0","0","0","deferred","deferred","deferred","deferred","0","1","0"
"103","1","deferred","1","deferred","0","1","1","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"104","1","deferred","1","deferred","0","1","1","0","1","0","1","0","NA","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","1"
"105","1","deferred","1","1","0","1","1","1","1","1","1","deferred","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"106","1","deferred","1","1","0","1","deferred","1","1","0","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","deferred"
"107","1","deferred","1","1","0","deferred","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","1"
"108","1","deferred","1","1","deferred","1","1","1","1","1","1","1","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","1","0"
"109","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","0","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","1"
"110","1","0","1","1","0","1","1","0","1","deferred","deferred","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","0"
"111","1","deferred","1","deferred","0","deferred","deferred","0","deferred","deferred","deferred","deferred","NA","NA","deferred","NA","0","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","1","0"
"112","1","0","1","1","0","1","1","0","1","deferred","1","deferred","1","1","deferred","deferred","1","deferred","deferred","1","1","deferred","deferred","1","1","1","deferred"
"113","1","deferred","1","1","0","deferred","deferred","0","1","0","0","0","NA","NA","deferred","NA","deferred","deferred","0","deferred","NA","deferred","NA","1","0","1","0"
"114","1","1","1","deferred","0","1","deferred","1","1","0","deferred","1","NA","NA","deferred","NA","deferred","1","1","deferred","NA","deferred","NA","1","1","1","deferred"
"115","1","deferred","1","1","0","1","1","deferred","1","1","1","1","deferred","deferred","deferred","NA","1","deferred","1","1","deferred","deferred","deferred","1","deferred","1","1"
"116","1","deferred","1","1","deferred","1","deferred","0","1","1","1","1","deferred","deferred","deferred","deferred","1","1","1","deferred","deferred","deferred","deferred","1","1","1","0"
"117","1","1","1","1","deferred","1","1","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","deferred","1","1"
"118","1","deferred","1","deferred","deferred","1","1","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","deferred"
