"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.793205317577548,0.660448693643436,0.908812286589327,0.771929824561403,0.673469387755102,0.866666666666667,0.886904761904762,0.85515873015873,0.920584513748402
"Eligibility",0.259911894273128,NA,NA,0.4,NA,NA,0.910714285714286,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Setting",0.555555555555556,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Organization",0.442786069651741,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.946428571428571,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.821428571428571,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Outcome",0.659056316590563,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Analysis",0.68,NA,NA,0.454545454545455,NA,NA,0.803571428571429,NA,NA
