pragmeta_trial_id,domain_name,quote,best_match,best_paragraph,ratio
1528,Eligibility,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.","People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.","People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,Eligibility,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.","rticipants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale,8 thus confirming they had low mood","Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009. The details of this study have been published elsewhere.3 However, in summary, participants were included who scored >2 on the General Health Questionnaire 12,7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale,8 thus confirming they had low mood.",99.1769547325103
1528,Recruitment,Participants allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,roup. Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,Participants:,93.6
1528,Recruitment,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.","The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.","Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group. Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks. The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis. The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood. Participants allocated to the control group received all other rehabilitation routinely provided and were offered the opportunity to attend groups once they had completed the study.",100.0
1528,Setting,Community.,Community.,Community.,100.0
1528,Organization,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.","The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.","Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group. Those allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks. The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis. The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood. Participants allocated to the control group received all other rehabilitation routinely provided and were offered the opportunity to attend groups once they had completed the study.",100.0
1528,Flexibility (delivery),Participants randomly allocated to the adjustment group received six group treatment sessions.,Participants randomly allocated to the adjustment group received six group treatment sessions.,"Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.",100.0
1528,Follow-up,"Outcomes were assessed four and eight months after randomization, blind to group allocation.","Outcomes were assessed four and eight months after randomization, blind to group allocation.","Outcomes were assessed four and eight months after randomization, blind to group allocation. The costs were assessed from a service use questionnaire and information provided on medication. Quality of life was assessed using the EQ-5D.",100.0
1528,Primary outcome,The aim of the present study was to determine the cost effectiveness of the intervention.,The aim of the present study was to determine the cost effectiveness of the intervention.,"A high proportion of those with multiple sclerosis have emotional problems and these adversely affect their quality of life.1,2 Psychological interventions have been shown to reduce depression and anxiety in people with multiple sclerosis.3,4 These interventions may be delivered in groups or individually. One potential advantage of group interventions, as compared with individual therapy, is that they may be more cost effective. Yet previous evaluations of the cost-effectiveness of similar treatments for elderly people with depression have indicated that while the treatments are effective they are also associated with an increased cost.5 However, the cost effectiveness of psychological treatments for people with multiple sclerosis has not been examined. In a recent trial of a psychological adjustment group for people with multiple sclerosis and low mood,3 results indicated that intervention improved mood and reduced the impact of multiple sclerosis in everyday life. These encouraging results suggested that the intervention should be provided as part of routine clinical practice. The aim of the present study was to determine the cost effectiveness of the intervention.",100.0
1528,Primary analysis,"The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization.","The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization","The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization, but costs at four months follow-up were also recorded. Baseline costs were examined for differences between groups, but were not used to adjust the results. A cost-effectiveness analysis was performed comparing the adjustment group with the usual care control group. Effectiveness was initially defined as the change in EQ-5D scores and a cost-effectiveness analysis was performed using this outcome measure. In addition, reductions in the BDI-II score from baseline to follow-up were analysed as an alternative measure of the cost effectiveness. The ICER, i.e. the difference in average costs divided by the difference in average effects between groups, was also calculated. In order to capture the uncertainty around the estimates, 1000 non-parametric bootstrap replications were generated from the sets of multiply imputed data, and mean cost and effect were plotted in a cost-effectiveness plane. As there are no published data on the threshold willingness to pay value for additional effectiveness associated with the group programme described, the probability that the programme will be considered cost effective was calculated for a range of threshold values and presented in a cost-effectiveness acceptability curve.",100.0
