"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","2","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1529","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","4","deferred","4","deferred","4","deferred","4","5","5"
"1568","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","2","NA","2","deferred","2","NA","2","4","NA"
"1769","deferred","4","4","deferred","deferred","deferred","deferred","5","5"
"1770","2","deferred","deferred","NA","2","NA","2","deferred","NA"
"1771","deferred","deferred","deferred","deferred","2","deferred","deferred","5","5"
"1772","4","deferred","deferred","NA","NA","NA","deferred","5","deferred"
"1773","4","deferred","deferred","deferred","2","deferred","deferred","5","deferred"
"648","4","deferred","5","5","5","deferred","4","5","5"
"650","deferred","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"651","deferred","deferred","deferred","5","deferred","5","deferred","deferred","5"
"655","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"657","4","3","4","deferred","deferred","deferred","deferred","deferred","5"
"662","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","deferred","4","4","deferred","NA","4","5","5"
"664","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","5"
"666","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"668","deferred","deferred","5","deferred","deferred","deferred","4","5","5"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"670","4","deferred","deferred","deferred","5","NA","deferred","5","5"
"671","deferred","deferred","5","5","4","deferred","deferred","5","5"
"673","deferred","4","5","3","deferred","deferred","deferred","5","5"
"674","deferred","NA","deferred","deferred","deferred","NA","deferred","5","deferred"
"675","deferred","deferred","deferred","deferred","deferred","NA","3","5","deferred"
"677","deferred","deferred","deferred","deferred","deferred","NA","2","deferred","deferred"
"678","4","deferred","4","deferred","deferred","NA","2","deferred","5"
"679","3","deferred","2","2","deferred","deferred","deferred","5","5"
"680","deferred","deferred","2","deferred","deferred","deferred","deferred","5","deferred"
"681","deferred","4","deferred","deferred","deferred","5","deferred","deferred","5"
"682","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","2","deferred","5","5","deferred","5","deferred","5","deferred"
"685","5","4","5","deferred","5","deferred","4","5","deferred"
"686","deferred","NA","2","deferred","deferred","NA","deferred","5","deferred"
"687","3","3","2","deferred","deferred","4","deferred","5","deferred"
"688","deferred","deferred","deferred","2","deferred","NA","deferred","5","5"
"689","deferred","deferred","5","deferred","4","deferred","deferred","5","5"
"690","deferred","deferred","deferred","deferred","deferred","NA","2","4","5"
"691","4","4","deferred","4","deferred","deferred","4","deferred","deferred"
"692","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","2","deferred","deferred","NA","2","deferred","deferred"
"694","deferred","4","deferred","deferred","deferred","NA","deferred","deferred","5"
"695","deferred","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","NA","2","NA","NA","NA","2","deferred","NA"
"697","3","deferred","4","4","deferred","deferred","deferred","5","5"
"705","4","4","deferred","deferred","deferred","NA","4","5","5"
"712","4","deferred","deferred","deferred","deferred","NA","deferred","5","NA"
"713","4","4","deferred","deferred","5","deferred","4","5","deferred"
"714","4","4","5","5","5","deferred","4","5","5"
"715","4","deferred","5","4","deferred","NA","deferred","4","5"
"722","deferred","deferred","5","5","5","deferred","deferred","5","5"
"725","3","4","deferred","4","4","deferred","deferred","5","5"
"733","4","4","5","deferred","deferred","deferred","deferred","5","5"
