"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.664022363566024,0.788029100529101,0
"P1",-0.00900900900900892,0.973214285714286,0
"P2",0.380604384752123,0.75,0
"P3",NA,1,0
"P4",0.358778625954199,0.678571428571429,0
"P5",0.716024340770791,0.955357142857143,0
"P6",0.395061728395062,0.875,0
"P7",0.25889164598842,0.857142857142857,0
"P8",0.677975848188614,0.910714285714286,0
"P9",0.473065161138556,0.821428571428571,0
"P10",0.518501458621219,0.75,0
"P11",0.354466858789625,0.678571428571429,0
"P12",0.610434782608696,0.785714285714286,0
"P13",0.648957843598182,0.821428571428571,0
"P14",0.404761904761905,0.776785714285714,0
"P15",0.218795888399413,0.660714285714286,0
"P16",0.352941176470588,0.901785714285714,0
"P17",0.380129589632829,0.633928571428571,0
"P18",0.2148121517167,0.651785714285714,0
"P19",0.23960004937662,0.508928571428571,0
"P20",0.238095238095238,0.517857142857143,0
"P21",0.293577981651376,0.705357142857143,0
"P22",-0.0333919156414764,0.8125,0
"P23",0.431952662721893,0.946428571428571,0
"P24",0.102694828841952,0.803571428571429,0
"P25",0.395097631906938,0.767857142857143,0
"P26",0.0576923076923077,0.875,0
"P27",0.393980385525871,0.857142857142857,0
