"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.434281120853543,0.658279220779221,0
"A1",0.0526315789473685,0.4375,0
"A2",0.48936170212766,0.732142857142857,0
"A3",0.0545023696682466,0.491071428571429,0
"A4",0.106995884773663,0.723214285714286,0
"A5",0.255589123867069,0.705357142857143,0
"A6",0.450980392156863,0.892857142857143,0
"A7",0.478678678678679,0.723214285714286,0
"A8",0.0857142857142856,0.25,0
"A9",0.674915979223954,0.830357142857143,0
"A10",0.2893571172034,0.526785714285714,0
"A11",0.302180685358255,0.928571428571429,0
