"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"100","deferred","1","1","0","0","1","1","deferred","1","1","deferred"
"101","0","deferred","deferred","0","0","deferred","0","0","NA","deferred","0"
"102","deferred","0","deferred","0","0","0","0","0","NA","deferred","0"
"103","deferred","deferred","deferred","0","0","1","0","0","1","deferred","0"
"104","deferred","0","deferred","deferred","deferred","1","0","0","NA","deferred","deferred"
"105","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"106","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred","deferred","deferred"
"107","deferred","deferred","1","deferred","deferred","1","1","deferred","1","deferred","deferred"
"108","deferred","0","1","deferred","deferred","1","1","1","1","deferred","deferred"
"109","deferred","1","deferred","deferred","deferred","1","deferred","deferred","1","deferred","deferred"
"110","deferred","1","deferred","0","deferred","1","0","deferred","deferred","deferred","deferred"
"111","0","0","0","0","0","0","0","0","NA","deferred","0"
"112","deferred","deferred","1","deferred","0","deferred","0","0","1","deferred","0"
"113","deferred","deferred","deferred","deferred","deferred","0","1","1","NA","deferred","deferred"
"114","deferred","0","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"115","deferred","deferred","deferred","deferred","deferred","1","1","deferred","1","1","deferred"
"116","1","deferred","deferred","0","deferred","1","1","1","deferred","deferred","deferred"
"117","1","deferred","1","deferred","deferred","1","1","deferred","1","deferred","deferred"
"118","deferred","1","deferred","0","deferred","1","1","deferred","1","1","0"
"119","deferred","1","deferred","0","deferred","1","deferred","deferred","deferred","deferred","deferred"
"120","deferred","1","1","0","0","1","1","0","deferred","1","0"
"121","1","1","1","0","1","1","deferred","0","1","1","deferred"
"122","1","1","1","1","1","1","1","1","1","1","deferred"
"123","deferred","1","1","deferred","deferred","1","0","deferred","1","deferred","deferred"
"124","deferred","deferred","deferred","0","deferred","1","1","1","deferred","deferred","deferred"
"125","deferred","deferred","1","deferred","deferred","1","1","1","deferred","deferred","deferred"
"126","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","1","1","deferred"
"127","deferred","0","deferred","deferred","deferred","deferred","1","deferred","NA","deferred","deferred"
"128","deferred","0","0","0","0","1","0","0","NA","deferred","0"
"129","deferred","1","deferred","0","deferred","1","1","1","deferred","deferred","deferred"
"130","deferred","deferred","0","0","0","1","1","deferred","NA","deferred","deferred"
"131","deferred","1","deferred","deferred","deferred","1","1","1","NA","deferred","deferred"
"132","deferred","0","1","deferred","0","1","0","0","NA","deferred","0"
"133","deferred","0","deferred","deferred","0","0","0","0","NA","deferred","deferred"
"134","deferred","deferred","deferred","0","0","deferred","0","0","deferred","0","deferred"
"135","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","NA","deferred","deferred"
"136","deferred","0","deferred","0","0","deferred","0","0","NA","deferred","deferred"
"137","deferred","0","1","deferred","0","deferred","1","1","1","deferred","deferred"
"138","1","deferred","deferred","deferred","0","1","1","1","1","deferred","deferred"
"139","deferred","deferred","deferred","deferred","0","1","0","0","deferred","deferred","deferred"
"140","deferred","0","deferred","0","0","deferred","0","0","NA","deferred","deferred"
"141","deferred","0","deferred","0","0","1","deferred","deferred","NA","deferred","deferred"
"142","1","deferred","1","deferred","deferred","1","1","1","deferred","1","deferred"
"143","deferred","deferred","deferred","0","0","deferred","0","0","1","deferred","deferred"
"144","deferred","deferred","deferred","0","deferred","1","deferred","deferred","NA","NA","deferred"
"145","deferred","deferred","deferred","deferred","0","1","deferred","1","NA","deferred","0"
"146","deferred","1","1","deferred","deferred","1","1","deferred","1","deferred","0"
"147","deferred","deferred","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred"
"148","deferred","1","deferred","0","deferred","1","1","deferred","1","deferred","deferred"
"149","deferred","0","1","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"150","deferred","deferred","1","deferred","deferred","deferred","1","1","1","0","deferred"
"151","deferred","deferred","1","deferred","1","1","deferred","1","1","1","deferred"
"152","1","deferred","1","deferred","deferred","1","1","deferred","deferred","deferred","deferred"
"153","1","1","1","0","1","1","1","deferred","1","deferred","0"
"154","deferred","deferred","deferred","0","0","1","1","1","deferred","deferred","deferred"
"155","1","1","deferred","0","deferred","1","1","deferred","1","deferred","0"
"156","deferred","deferred","deferred","deferred","deferred","1","0","deferred","deferred","deferred","deferred"
"157","1","1","1","deferred","0","deferred","NA","deferred","NA","NA","deferred"
"158","1","deferred","1","deferred","0","deferred","0","0","deferred","0","0"
"159","deferred","deferred","deferred","deferred","deferred","1","deferred","0","NA","deferred","deferred"
"160","1","1","1","1","deferred","deferred","deferred","deferred","NA","NA","deferred"
"161","1","1","deferred","0","deferred","1","1","1","deferred","1","deferred"
"162","deferred","1","deferred","deferred","0","deferred","1","deferred","NA","deferred","deferred"
"163","deferred","deferred","deferred","deferred","deferred","deferred","0","deferred","NA","deferred","deferred"
"164","deferred","deferred","deferred","deferred","1","1","deferred","deferred","1","1","deferred"
"165","deferred","0","deferred","0","0","1","0","0","NA","deferred","deferred"
"166","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred"
"167","deferred","1","deferred","0","deferred","1","1","deferred","1","deferred","0"
"168","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"169","1","1","1","deferred","0","1","1","deferred","1","1","0"
"170","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred"
"171","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","1","deferred","deferred"
"172","deferred","deferred","1","deferred","deferred","1","0","0","deferred","deferred","deferred"
"61","deferred","0","1","1","0","1","deferred","deferred","deferred","NA","deferred"
"62","deferred","deferred","1","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"63","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"64","1","1","1","deferred","deferred","1","1","1","1","deferred","deferred"
"65","deferred","1","deferred","0","0","deferred","1","deferred","deferred","0","deferred"
"66","deferred","deferred","deferred","deferred","0","1","1","deferred","deferred","deferred","deferred"
"67","deferred","0","deferred","0","0","1","0","deferred","NA","0","deferred"
"68","deferred","1","deferred","deferred","deferred","1","1","1","deferred","1","deferred"
"69","deferred","deferred","deferred","deferred","deferred","1","deferred","0","NA","deferred","deferred"
"70","deferred","deferred","1","0","0","1","1","deferred","deferred","deferred","deferred"
"71","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","1","1","deferred"
"72","deferred","0","deferred","deferred","0","deferred","0","0","deferred","deferred","deferred"
"73","deferred","0","deferred","0","deferred","deferred","1","deferred","NA","deferred","deferred"
"74","deferred","deferred","1","0","deferred","1","1","deferred","1","deferred","0"
"75","deferred","1","1","deferred","deferred","1","1","1","NA","0","0"
"76","deferred","deferred","deferred","deferred","deferred","1","1","1","1","1","deferred"
"77","deferred","1","deferred","0","0","1","deferred","deferred","1","deferred","1"
"78","deferred","deferred","deferred","deferred","deferred","1","0","0","1","deferred","deferred"
"79","deferred","1","deferred","0","deferred","1","0","0","NA","deferred","deferred"
"80","1","1","1","0","0","1","1","deferred","NA","deferred","0"
"81","1","1","1","deferred","deferred","1","1","deferred","1","1","deferred"
"82","1","1","1","deferred","deferred","1","1","1","1","1","0"
"83","1","1","1","deferred","deferred","1","1","deferred","deferred","0","deferred"
"84","deferred","0","deferred","deferred","deferred","1","1","1","1","1","deferred"
"85","deferred","0","0","0","0","deferred","1","deferred","NA","deferred","0"
"86","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","deferred","deferred"
"87","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"88","deferred","1","1","deferred","deferred","1","1","1","deferred","1","deferred"
"89","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"90","deferred","1","deferred","0","0","1","0","0","deferred","0","0"
"91","deferred","1","deferred","0","deferred","1","deferred","deferred","deferred","deferred","0"
"92","deferred","0","1","0","0","1","0","0","deferred","deferred","deferred"
"93","deferred","deferred","deferred","deferred","deferred","1","0","0","deferred","deferred","deferred"
"94","0","deferred","deferred","0","0","1","0","0","NA","deferred","0"
"95","deferred","0","deferred","deferred","deferred","1","0","deferred","deferred","deferred","deferred"
"96","deferred","0","0","0","0","1","0","0","deferred","deferred","deferred"
"97","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred"
"98","deferred","1","deferred","0","0","1","deferred","deferred","deferred","1","0"
"99","deferred","deferred","deferred","0","0","deferred","0","0","NA","deferred","0"
