"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.922951175658186,0.955375253549696,0.347883597883598
"P1",0.177981651376147,0.926605504587156,0.0267857142857143
"P2",0.783644558918223,0.930232558139535,0.616071428571429
"P3",0.495495495495495,0.990990990990991,0.00892857142857143
"P4",0.902946273830156,0.984375,0.428571428571429
"P5",1,1,0.107142857142857
"P6",1,1,0.241071428571429
"P7",0.789539617914187,0.872340425531915,0.580357142857143
"P8",0.86829727187206,0.943181818181818,0.214285714285714
"P9",0.895716945996276,0.988636363636364,0.214285714285714
"P10",0.926605504587156,0.963855421686747,0.258928571428571
"P11",1,1,0.357142857142857
"P12",0.865988632964403,0.9375,0.428571428571429
"P13",0.935210181257231,0.965909090909091,0.214285714285714
"P14",0.948398986408662,0.972972972972973,0.339285714285714
"P15",0.655172413793103,0.761904761904762,0.8125
"P16",0.837798696596669,0.966101694915254,0.473214285714286
"P17",0.969565217391304,0.9875,0.285714285714286
"P18",0.951515151515152,0.9875,0.285714285714286
"P19",0.958579881656805,0.981481481481482,0.517857142857143
"P20",0.809806835066865,0.891891891891892,0.339285714285714
"P21",0.974417542256738,0.986301369863014,0.348214285714286
"P22",0.625,0.75,0.892857142857143
"P23",0.919540229885057,0.982142857142857,0.5
"P24",0.672787979966611,0.917647058823529,0.241071428571429
"P25",0.637630662020906,0.824324324324324,0.339285714285714
"P26",-0.087378640776699,0.961165048543689,0.0803571428571429
"P27",0.850915141430948,0.952941176470588,0.241071428571429
