"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.623534819581705,0.477212001277253,0.763006730219788,0.82962962962963,0.755252651148657,0.893617021276596,0.732142857142857,0.684574216410328,0.773809523809524
"Eligibility",0.48780487804878,NA,NA,0.823529411764706,NA,NA,0.696428571428571,NA,NA
"Recruitment",0.658536585365854,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Setting",0.377777777777778,NA,NA,0.947368421052632,NA,NA,0.660714285714286,NA,NA
"Organization",0.777777777777778,NA,NA,0.916666666666667,NA,NA,0.785714285714286,NA,NA
"Flex. delivery",0.443708609271523,NA,NA,0.666666666666667,NA,NA,0.839285714285714,NA,NA
"Flex. adherence",0.164179104477612,NA,NA,0.583333333333333,NA,NA,0.785714285714286,NA,NA
"Follow-up",0.363636363636364,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
"Outcome",0.769547325102881,NA,NA,0.925925925925926,NA,NA,0.517857142857143,NA,NA
"Analysis",0.725938009787928,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
