"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.74361181764821,0.638091582946611,0.844890134514945,0.762962962962963,0.683098591549296,0.841246120382068,0.732142857142857,0.684574216410328,0.773809523809524
"Eligibility",0.820704375667022,NA,NA,0.823529411764706,NA,NA,0.696428571428571,NA,NA
"Recruitment",0.823343848580442,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Setting",0.684062059238364,NA,NA,0.789473684210526,NA,NA,0.660714285714286,NA,NA
"Organization",0.880597014925373,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Flex. delivery",0.611785095320624,NA,NA,0.444444444444444,NA,NA,0.839285714285714,NA,NA
"Flex. adherence",0.386861313868613,NA,NA,0.5,NA,NA,0.785714285714286,NA,NA
"Follow-up",0.668639053254438,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
"Outcome",0.746351283341721,NA,NA,0.888888888888889,NA,NA,0.517857142857143,NA,NA
"Analysis",0.66984126984127,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
