publication_id,quote,best_match_source,best_match,similarity
100,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,fulltext,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,100.0
100,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated.,fulltext,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated.,100.0
100,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,100.0
100,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,fulltext,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,100.0
100,Two authors (DD and MM) independently searched Medline and EMBASE to identify relevant studies.,fulltext,2 authors (DD and MM) independently searched Medline and EMBASE ,66.31578947368422
100,"Characteristics of the 9 included studies8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",fulltext,"Characteristics of the 9 included studies8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
100,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
101,"A detailed review was undertaken of the techniques, pathology, risks of appendectomy, utility of the appendix, and incidental appendectomy in the treatment of specific pediatric medical conditions.",fulltext,"A detailed review was undertaken of the techniques, pathology, risks of appendectomy, utility of the appendix, and incidental appendectomy in the treatment of specific pediatric medical conditions.",100.0
101,"A comprehensive literature search was performed, and retrieved results were reviewed for relevance to the topic.",fulltext,"A comprehensive literature search was performed, and retrieved results were reviewed for relevance to the topic.",100.0
102,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",fulltext,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",100.0
102,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions.",fulltext,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions.",100.0
102,"Over the past 15 years, many studies have reported the use MIA for NB.",fulltext,"Over the past 15 years, many studies have reported the use MIA for NB.",100.0
102,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",fulltext,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",100.0
102,"Over the past 15 years, many studies have reported the use MIA for NB.",fulltext,"Over the past 15 years, many studies have reported the use MIA for NB.",100.0
103,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",fulltext,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",100.0
103,Criteria for inclusion and exclusion: Studies regardless of the sample size will be eligible for inclusion if they meet the following criteria: 1). comparative study; 2). compared standard LP with OP; 3). proved sufficient data on outcomes of interest; 4). procedures should perform in children (less than 18 years old).,fulltext,Criteria for inclusion and exclusion: Studies regardless of the sample size will be eligible for inclusion if they meet the following criteria: 1). comparative study; 2). compared standard LP with OP; 3). proved sufficient data on outcomes of interest; 4). procedures should perform in children (less than 18 years old).,100.0
103,"Data extraction and outcomes of interest: Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang). The following outcome parameters were abstracted: author, year, study design, study periods, cases of LP and OP, age periods, gender distribution, sides of obstruction and number of patients with crossing-vessel. Besides, perioperative outcomes such as operative time, length of stay and overall complication rate were also abstracted.",fulltext,"Data extraction and outcomes of interest: Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang). The following outcome parameters were abstracted: author, year, study design, study periods, cases of LP and OP, age periods, gender distribution, sides of obstruction and number of patients with crossing-vessel. Besides, perioperative outcomes such as operative time, length of stay and overall complication rate were also abstracted.",100.0
103,"Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang).",fulltext,"Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang).",100.0
103,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",fulltext,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",100.0
103,"16 studies including one RCT [2], eight retrospective studies [5,8,9,12-16], three prospective studies [6,17,18] and four studies from database [1,4,18,19] were included in the meta-analysis.",fulltext,"16 studies including one RCT [2], eight retrospective studies [5,8,9,12-16], three prospective studies [6,17,18] and four studies from database [1,4,18,19] were included in the meta-analysis.",100.0
