"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","5","deferred","deferred","NA","5","5","5"
"1529","3","4","deferred","deferred","2","deferred","deferred","4","NA"
"1567","4","4","4","4","4","4","4","5","5"
"1568","4","4","deferred","4","deferred","deferred","deferred","5","NA"
"1569","4","deferred","deferred","deferred","4","deferred","deferred","5","5"
"1570","2","NA","2","deferred","2","NA","2","4","NA"
"1769","2","4","4","deferred","deferred","NA","3","5","5"
"1770","2","deferred","deferred","NA","NA","NA","2","4","deferred"
"1771","deferred","5","5","2","2","deferred","4","5","5"
"1772","4","4","3","NA","deferred","NA","4","5","deferred"
"1773","4","3","5","5","2","deferred","4","5","deferred"
"648","4","deferred","4","5","5","deferred","4","5","5"
"650","4","4","4","4","4","deferred","deferred","5","5"
"651","4","4","5","5","deferred","5","5","5","5"
"655","4","NA","deferred","NA","deferred","NA","4","5","5"
"657","4","3","4","deferred","deferred","deferred","deferred","5","5"
"662","3","3","NA","deferred","deferred","NA","deferred","deferred","NA"
"663","4","4","deferred","4","3","NA","4","5","5"
"664","4","deferred","deferred","deferred","4","deferred","4","4","5"
"665","deferred","deferred","deferred","4","deferred","4","4","4","deferred"
"666","3","NA","deferred","NA","deferred","deferred","deferred","5","5"
"668","4","deferred","deferred","4","deferred","NA","4","5","5"
"669","deferred","4","deferred","4","3","deferred","deferred","5","5"
"670","4","deferred","deferred","NA","5","NA","deferred","5","5"
"671","4","5","5","5","4","5","4","5","5"
"673","deferred","4","5","3","3","4","deferred","5","5"
"674","4","deferred","deferred","deferred","deferred","deferred","3","5","deferred"
"675","deferred","deferred","2","deferred","deferred","NA","3","5","5"
"677","4","NA","deferred","NA","deferred","NA","2","4","deferred"
"678","4","deferred","4","3","deferred","NA","2","5","5"
"679","3","deferred","2","2","4","5","4","5","5"
"680","deferred","3","2","4","deferred","deferred","4","5","deferred"
"681","4","4","4","4","4","5","4","deferred","5"
"682","4","deferred","NA","deferred","deferred","deferred","deferred","5","5"
"684","deferred","deferred","5","5","5","5","4","5","5"
"685","5","4","deferred","deferred","5","NA","4","5","3"
"686","4","NA","2","deferred","deferred","NA","deferred","5","5"
"687","3","deferred","2","deferred","3","deferred","5","5","deferred"
"688","deferred","deferred","deferred","2","deferred","NA","deferred","5","5"
"689","deferred","deferred","5","5","4","NA","deferred","5","5"
"690","4","deferred","3","2","3","NA","2","4","5"
"691","4","4","deferred","4","4","5","4","5","5"
"692","4","4","deferred","deferred","deferred","deferred","4","5","deferred"
"693","3","deferred","deferred","deferred","deferred","NA","2","3","deferred"
"694","4","4","deferred","deferred","deferred","NA","4","5","5"
"695","deferred","deferred","5","deferred","4","NA","deferred","5","5"
"696","deferred","NA","2","NA","NA","NA","2","5","NA"
"697","3","deferred","4","4","4","deferred","deferred","5","5"
"705","4","4","4","deferred","deferred","NA","4","5","5"
"712","4","deferred","deferred","deferred","2","NA","deferred","5","deferred"
"713","4","4","deferred","4","4","deferred","4","5","NA"
"714","4","4","5","5","5","NA","4","5","5"
"715","4","4","5","4","deferred","NA","4","4","4"
"722","4","5","5","5","5","deferred","4","5","5"
"725","4","deferred","5","4","5","NA","deferred","5","5"
"733","4","5","5","deferred","4","deferred","4","5","5"
