"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","deferred","4","deferred","deferred","4","5","deferred"
"1529","deferred","deferred","deferred","deferred","4","deferred","5","deferred","NA"
"1567","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","4","deferred","5","deferred","deferred","deferred","3","deferred","deferred"
"1569","deferred","5","deferred","deferred","deferred","deferred","4","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1769","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1771","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"1772","4","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","deferred","deferred","4","4","2","deferred","deferred","deferred","deferred"
"648","4","NA","deferred","4","deferred","deferred","4","deferred","deferred"
"650","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"655","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","deferred","4","5","5","4","5","5"
"662","deferred","deferred","deferred","3","3","deferred","3","deferred","deferred"
"663","4","4","deferred","deferred","deferred","5","4","5","deferred"
"664","deferred","3","deferred","deferred","deferred","deferred","deferred","5","deferred"
"665","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","4"
"666","deferred","NA","deferred","NA","deferred","deferred","deferred","deferred","5"
"668","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"670","5","5","deferred","5","deferred","deferred","deferred","5","deferred"
"671","deferred","5","5","5","deferred","deferred","deferred","5","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","5","5","deferred"
"674","3","deferred","deferred","deferred","deferred","deferred","deferred","5","NA"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"677","deferred","5","deferred","deferred","NA","NA","deferred","deferred","deferred"
"678","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"679","4","deferred","deferred","deferred","4","4","3","5","5"
"680","deferred","3","deferred","deferred","deferred","deferred","deferred","5","5"
"681","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"682","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"684","4","deferred","5","deferred","deferred","5","deferred","5","deferred"
"685","5","deferred","deferred","deferred","deferred","NA","deferred","deferred","NA"
"686","3","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"689","4","5","deferred","deferred","deferred","deferred","3","deferred","deferred"
"690","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"691","4","4","4","4","deferred","5","4","5","5"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","NA","deferred","deferred","3","NA"
"694","4","4","5","deferred","deferred","deferred","4","5","deferred"
"695","deferred","deferred","5","deferred","5","NA","deferred","5","5"
"696","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"697","deferred","deferred","5","4","4","deferred","4","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"712","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","NA"
"713","deferred","4","deferred","NA","5","NA","deferred","5","deferred"
"714","deferred","deferred","deferred","deferred","5","deferred","5","5","deferred"
"715","deferred","deferred","5","deferred","5","deferred","deferred","5","deferred"
"722","4","deferred","deferred","5","5","deferred","deferred","deferred","deferred"
"725","4","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"733","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
