"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","5","deferred","deferred","deferred","5","deferred","deferred"
"1529","deferred","deferred","NA","NA","deferred","deferred","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","4","deferred","deferred","3","deferred","deferred","deferred","4","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","deferred","NA","deferred","NA","deferred","NA","deferred","deferred","NA"
"1769","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","4","deferred","deferred","NA","deferred","deferred","deferred"
"1771","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","deferred","deferred","deferred","NA","deferred","deferred","4","5","deferred"
"1773","4","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"650","deferred","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"651","deferred","deferred","5","5","deferred","deferred","4","5","deferred"
"655","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"657","3","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"662","deferred","deferred","5","deferred","deferred","deferred","3","deferred","5"
"663","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"664","3","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","4","deferred","deferred","deferred","deferred","4","deferred","deferred"
"666","deferred","NA","deferred","NA","deferred","deferred","3","5","deferred"
"668","3","3","5","deferred","deferred","NA","deferred","deferred","5"
"669","deferred","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","NA","deferred","NA","deferred","5","5"
"671","deferred","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","2","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"677","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"678","deferred","5","5","4","deferred","NA","deferred","deferred","4"
"679","deferred","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"680","2","3","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"681","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"682","4","4","deferred","deferred","deferred","deferred","2","deferred","deferred"
"684","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"685","5","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"686","deferred","5","deferred","4","deferred","NA","deferred","5","5"
"687","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","NA"
"688","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"689","deferred","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
"690","deferred","NA","deferred","deferred","deferred","NA","deferred","5","deferred"
"691","4","5","5","deferred","deferred","NA","deferred","5","5"
"692","4","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","5"
"695","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"697","3","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"705","deferred","2","4","deferred","deferred","deferred","deferred","deferred","deferred"
"712","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"713","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"714","4","deferred","5","5","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"722","deferred","5","5","5","5","5","deferred","5","5"
"725","deferred","5","5","5","5","deferred","5","5","deferred"
"733","4","deferred","5","deferred","deferred","2","deferred","deferred","deferred"
