"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.0622835728855367,0.525793650793651,0
"Eligibility",0.0857142857142857,0.535714285714286,0
"Recruitment",0.169002473206925,0.464285714285714,0
"Setting",-0.0168290522586358,0.642857142857143,0
"Organization",-0.0277008310249309,0.482142857142857,0
"Flex. delivery",0.115789473684211,0.464285714285714,0
"Flex. adherence",0.0763888888888888,0.482142857142857,0
"Follow-up",-0.0407433881343817,0.446428571428571,0
"Outcome",0.00374531835205993,0.714285714285714,0
"Analysis",0.147717099373321,0.5,0
