"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","0","1","1","deferred","0","1","1","1","1","1","deferred","1","deferred","1","1","0","1","1","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","deferred"
"102","0","0","0","0","0","0","0","0","deferred","0","0","0","0","1","deferred","0","0","0","0","0","0","0","0","0","deferred","0","0","0","0","0","0","0","0","0","deferred","0","1","0"
"103","0","deferred","deferred","0","0","deferred","0","deferred","1","deferred","deferred","1","deferred","1","0","0","1","1","deferred","1","1","1","deferred","1","1","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","1","1","1","0"
"104","0","0","deferred","0","0","deferred","0","0","NA","0","deferred","1","0","1","deferred","0","1","1","deferred","deferred","0","1","0","deferred","NA","0","NA","deferred","deferred","0","deferred","NA","0","NA","1","1","1","1"
"105","0","deferred","deferred","0","0","1","0","0","NA","0","deferred","1","0","1","deferred","0","1","1","1","1","1","1","0","deferred","NA","0","deferred","deferred","deferred","0","deferred","NA","0","deferred","1","1","1","0"
"106","0","0","deferred","0","0","deferred","1","1","1","deferred","deferred","1","deferred","1","1","0","1","deferred","1","1","0","1","deferred","1","1","0","0","1","deferred","deferred","deferred","1","0","0","1","deferred","1","1"
"107","deferred","1","1","deferred","0","1","1","1","1","0","1","1","deferred","1","1","0","1","deferred","1","1","1","1","1","1","1","0","deferred","1","1","1","1","1","0","deferred","1","deferred","1","1"
"109","deferred","1","deferred","0","0","1","1","deferred","1","deferred","1","1","deferred","1","1","0","1","deferred","0","1","1","1","0","1","1","0","1","1","1","deferred","1","1","0","1","1","1","1","1"
"110","deferred","1","deferred","0","0","deferred","0","0","NA","0","0","1","deferred","1","1","0","1","1","deferred","1","1","deferred","0","deferred","NA","0","deferred","deferred","deferred","0","deferred","NA","0","deferred","1","1","1","0"
"111","0","0","0","0","0","0","0","0","deferred","0","0","1","0","deferred","0","0","0","0","0","0","0","0","0","deferred","deferred","0","deferred","0","0","0","0","deferred","0","deferred","0","0","0","0"
"112","deferred","deferred","deferred","deferred","0","0","deferred","1","1","deferred","deferred","1","deferred","1","1","0","1","1","deferred","1","deferred","1","deferred","1","1","deferred","deferred","1","deferred","deferred","1","1","deferred","deferred","1","1","1","1"
"113","deferred","0","deferred","0","0","0","1","1","NA","0","0","1","deferred","1","1","0","deferred","deferred","0","1","0","0","deferred","NA","NA","0","NA","deferred","0","0","deferred","NA","0","NA","1","0","1","0"
"115","0","1","deferred","0","0","1","1","1","1","1","1","1","deferred","1","deferred","0","1","deferred","deferred","1","1","1","1","1","1","1","deferred","1","1","deferred","1","1","1","deferred","deferred","deferred","1","deferred"
"116","deferred","1","1","0","0","1","1","1","1","0","1","1","deferred","1","1","0","1","deferred","1","1","1","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","deferred","1","deferred","1","0"
"117","1","1","1","1","0","1","1","1","1","deferred","deferred","1","1","1","1","deferred","1","1","0","1","deferred","1","1","1","1","0","0","1","1","1","1","1","0","0","1","deferred","1","1"
"118","deferred","1","deferred","0","0","1","1","1","1","1","deferred","1","deferred","1","1","0","1","1","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","deferred"
"119","deferred","deferred","deferred","0","0","deferred","1","1","NA","deferred","0","1","deferred","1","1","0","1","1","1","1","1","1","deferred","deferred","NA","deferred","NA","1","deferred","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"120","0","1","1","0","0","1","1","deferred","deferred","1","1","1","deferred","1","1","0","1","1","0","1","1","1","deferred","1","1","1","deferred","1","1","0","deferred","1","1","deferred","1","deferred","1","1"
"121","deferred","1","1","0","deferred","deferred","0","0","1","1","1","1","0","1","1","0","1","1","deferred","1","1","1","deferred","1","1","1","deferred","1","deferred","0","deferred","1","1","deferred","1","1","1","0"
"123","0","1","1","0","0","1","0","deferred","1","0","deferred","1","deferred","1","1","0","1","1","1","1","1","1","0","1","1","0","deferred","deferred","1","0","1","1","0","deferred","1","deferred","1","0"
"124","deferred","1","1","0","0","deferred","1","1","1","deferred","0","1","deferred","1","1","0","1","deferred","deferred","1","1","1","1","1","1","deferred","0","0","deferred","0","deferred","1","0","0","1","deferred","1","0"
"125","deferred","0","1","0","0","deferred","1","1","deferred","0","1","0","deferred","1","1","0","1","1","0","1","deferred","1","deferred","deferred","deferred","0","0","0","0","deferred","0","deferred","0","0","1","1","1","0"
"126","0","deferred","0","0","0","1","0","0","deferred","1","deferred","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","1","1","deferred","1","1","deferred","1","1","1","1","1","deferred","1","deferred"
"127","0","0","deferred","0","0","0","deferred","deferred","deferred","0","1","deferred","0","1","deferred","0","deferred","deferred","0","deferred","0","deferred","0","deferred","deferred","0","deferred","0","0","0","deferred","NA","0","deferred","1","0","1","0"
"129","deferred","1","1","0","0","1","1","1","1","0","deferred","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","1","0","0","deferred","1","0","1","1","0","0","1","deferred","1","0"
"131","deferred","1","deferred","0","0","1","1","1","NA","0","1","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","deferred","NA","0","NA","1","1","0","deferred","NA","0","NA","1","1","1","1"
"132","0","0","1","deferred","0","deferred","0","0","deferred","0","1","1","deferred","1","1","0","deferred","deferred","deferred","deferred","0","deferred","0","deferred","deferred","0","deferred","0","0","0","deferred","NA","0","deferred","1","0","1","0"
"133","deferred","0","deferred","0","0","0","0","0","deferred","0","deferred","0","deferred","1","0","0","0","0","0","0","0","0","0","0","NA","0","deferred","0","0","0","0","NA","0","deferred","deferred","0","deferred","0"
"134","0","deferred","0","0","0","deferred","0","0","1","0","1","1","1","1","1","0","1","0","deferred","1","deferred","1","0","deferred","deferred","0","1","deferred","deferred","0","0","deferred","0","1","1","1","1","deferred"
"135","deferred","deferred","1","0","0","1","1","1","NA","0","0","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","1","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","0"
"136","0","0","0","0","0","deferred","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","deferred","0","0","deferred","0","deferred","0","0","0","0","deferred","0","deferred","deferred","0","1","deferred"
"137","deferred","deferred","1","deferred","0","deferred","1","1","1","0","0","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","1","1","deferred","deferred","deferred","deferred","1","0","1","1","0","deferred","1","1","1","0"
"138","deferred","1","1","0","0","1","deferred","1","1","0","0","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","0","1","1","0","deferred","1","1","0","1","1","0","deferred","1","1","1","0"
"139","0","deferred","0","deferred","0","1","0","0","deferred","0","0","1","0","1","deferred","0","deferred","0","0","0","0","deferred","0","0","0","0","0","0","0","0","0","0","0","0","deferred","deferred","deferred","0"
"140","0","0","0","0","0","deferred","0","0","deferred","0","0","1","0","1","deferred","0","deferred","0","deferred","deferred","0","0","0","deferred","deferred","0","deferred","deferred","deferred","0","deferred","deferred","0","deferred","1","0","1","0"
"141","0","0","0","0","0","1","deferred","deferred","NA","0","0","1","deferred","1","deferred","0","1","deferred","deferred","deferred","0","1","0","deferred","NA","0","deferred","deferred","0","0","deferred","deferred","0","0","1","1","1","0"
"145","deferred","1","deferred","deferred","0","1","1","1","deferred","deferred","0","1","deferred","1","1","0","1","deferred","0","1","1","1","1","deferred","deferred","deferred","0","deferred","1","1","deferred","NA","0","deferred","1","1","1","0"
"146","deferred","1","1","1","0","deferred","1","1","1","deferred","deferred","1","deferred","1","1","0","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0"
"147","deferred","0","deferred","0","0","1","1","deferred","1","0","0","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","1","0","0","deferred","1","deferred","1","1","0","0","1","1","1","0"
"148","deferred","1","deferred","0","deferred","1","1","deferred","1","0","deferred","1","0","1","deferred","0","1","deferred","0","1","1","1","1","1","1","0","deferred","deferred","1","1","1","1","0","deferred","1","1","1","0"
"149","0","0","1","0","0","deferred","1","1","NA","0","1","1","1","1","deferred","0","1","deferred","1","deferred","0","deferred","1","deferred","NA","0","NA","deferred","deferred","deferred","deferred","NA","0","NA","1","1","1","0"
