"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.812617619315357,0.772568441283814,0.847691959409577,0.899354838709677,0.879057773314752,0.918204604690661,0.250483558994197,0.221494589043332,0.277562862669246
"A1",1,NA,NA,1,NA,NA,0.457446808510638,NA,NA
"A2",0.887995233839738,NA,NA,0.943661971830986,NA,NA,0.24468085106383,NA,NA
"A3",0.965172286031864,NA,NA,0.981818181818182,NA,NA,0.414893617021277,NA,NA
"A4",1,NA,NA,1,NA,NA,0.148936170212766,NA,NA
"A5",0.823970037453184,NA,NA,0.988888888888889,NA,NA,0.0425531914893617,NA,NA
"A6",0.933942375263528,NA,NA,0.983606557377049,NA,NA,0.351063829787234,NA,NA
"A7",1,NA,NA,1,NA,NA,0.127659574468085,NA,NA
"A8",0.947690595436839,NA,NA,0.973333333333333,NA,NA,0.202127659574468,NA,NA
"A9",0.859070464767616,NA,NA,0.925373134328358,NA,NA,0.287234042553192,NA,NA
"A10",0.325234676974048,NA,NA,0.506329113924051,NA,NA,0.159574468085106,NA,NA
"A11",0.0813135261923377,NA,NA,0.609375,NA,NA,0.319148936170213,NA,NA
