"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"657",657,"Arntzen, Ellen Christin; Straume, Bjorn Kare; Odeh, Francis; Feys, Peter; Zanaboni, Paolo; Normann, Britt","10.1093/ptj/pzz017","Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.","Julian",2,"The inclusion criteria were as follows: (1) diagnosed with MS in accordance with the McDonald criteria27; (2) registered at the MS outpatient clinic; (3) living in 1 of 6 selected municipalities; (4) aged 18 years or older; (5) capable of providing signed written informed consent; and (6) EDSS score between 1 and 6.5 (1 = minor disability, 6.5 = able lk h h lk d) h to walk 20 m with or without a walking aid). The exclusion criteria were as follows: (1) pregnancy at time of examination; (2) exacerbation in the previous 2 weeks before enrollment; and (3) other acute conditions compromising balance","4","In August 2015, 1 of the MS nurses at the Department of Neurology, Nordland Hospital Trust in Bodø, Norway, sent out invitation letters with a consent form to 160 persons with MS who were registered at the MS outpatient clinic,","5","The GroupCoreDIST intervention was conducted by 6 physical therapists in 6 municipalities in Norway.","4","More intensive resources/training: The GroupCoreDIST intervention was conducted by 6 physical therapists in 6 municipalities in Norway.
Six neurological physical therapists conducted the intervention after being trained in GroupCoreDIST for 5 days. The training included practical and theoretical training. The physical therapists received a booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention. The physical therapists had varied experience (between 725 years) and certification (2 had both a masters degree in neurological physical therapy and were clinical specialists in neurological physical therapy, 1 was a clinical specialist in neurological physical therapy, and 3 were generalists in physical therapy).","5","the physical therapist received booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention, but he chose from the available exercise to address each individuals impairments ","5","No specific measures reported","4","Assessments at all time points took place at a Norwegian hospital.","5","This article address all balance outcomes, which
were: the primary outcomes (TIS-NV and Mini-BESTest)

The outcome measures were the Trunk Impairment ScaleNorwegian Version (TIS-NV), the Mini Balance Evaluation Systems Test (Mini-BESTest),

The TIS-NV measures dynamic sitting balance and trunk
control and includes 6 test items scored from 0 to 2 or 3, with a total score from 0 to 16 (0 = severe problem).29 h dfid f h l k The TIS-NV is a modified version of the original Trunk
Impairment Scale, which has been validated and tested for
reliability in people with MS.30 The Mini-BESTest measures balance in standing and walking.","5","1/80 missing/dropout, itt: One individual missed all postintervention tests, leaving 79 participants in the intention-to-treat analysis.
ITT and <10% attrition (with or without methods to address missing data): 5","PragMS"
"662",662,"Bogosian, A; Chadwick, P; Windgassen, S; Norton, S; McCrone, P; Mosweu, I; Silber, E; Moss-Morris, R","10.1177/1352458515576261","Distress improves after mindfulness training for progressive MS: A pilot randomised trial.","Julian",4," Inclusion criteria
were diagnosis of PPMS or SPMS, internet access and some level of distress
determined by a score of 3 or greater on the General Health Questionnaire;
GHQ-12 [17]. This cut-off score was chosen following recommendations for MS [18]. Exclusion criteria were severe cognitive impairment, as determined
by a score of 20 or smaller on the Telephone Interview for Cognitive StatusModified; TICS-M [19] and high suicide risk, as assessed by a score of 20 or
greater on the Clinical Outcome of Routine Evaluation; CORE-10 [20]. Finally,
people were excluded if they reported any serious psychological disorders
(e.g. psychosis, substance abuse), severe hearing impairment, attending
other psychological therapies or prior formal training in mindfulness.","4","We recruited potential
participants through adverts on the MS Society website and from National
Health Service (NHS) MS centres across the UK. We
administered the screening questionnaires via telephone","5","We recruited 40
participants across the UK.","3","Teaching standards and teachers competence are important in mindfulness
especially when working with vulnerable groups [23]. AB, a health
psychologist, facilitated the courses. AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. Prior to the study AB, completed a recognised mindfulness teacher
training course and ran supervised pilot mindfulness groups and one-to-one
courses for people with MS.","3"," AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. ","2"," Teaching standards and teachers competence are important in mindfulness
especially when working with vulnerable groups [23]. ..... AB was supervised by PC, a clinical
psychologist and expert mindfulness practitioner, who listened to session
recordings to check fidelity of the intervention. AB and PC met weekly, and
PC listened to excerpts of each and every session for supervision and fidelity
purposes. ","3","Participants completed online questionnaires at baseline (prior to
randomisation), post-intervention and 3-month follow-up.","5","The General Health Questionnaire, GHQ [17] is designed to measure general
levels of distress. The GHQ is uncontaminated by the experience of MSrelated somatic symptoms and is the most treatment responsive measure of
psychological distress in MS [26]. Higher scores on this scale represent high
distress","5","We conducted all group comparisons on an intention-to-treat basis where we
analysed participants in the group to which they were randomised.","PragMS"
"1772",1772,"Calkwood, J.; Cree, B.; Crayton, H.; Kantor, D.; Steingo, B.; Barbato, L.; Hashmonay, R.; Agashivala, N.; McCague, K.; Tenenbaum, N.; Edwards, K.","10.1186/s12883-014-0220-1","Impact of a switch to fingolimod versus staying on glatiramer acetate or beta interferons on patient- and physician-reported outcomes in relapsing multiple sclerosis: post hoc analyses of the EPOC trial","Julian",4,"Not really unjustified criteria but Canadians were different: Men and women aged 1865 years with relapsing forms of MS, as defined by the 2005 revised McDonald criteria [14], and an Expanded Disability Status Scale (EDSS) score of 05.5 were eligible to participate in the study. Patients were required to have received a single iDMT (except natalizumab) continuously for at least 6 months prior to study initiation and to be candidates for therapy change. For patients from the USA, the treating physician determined whether the patient was a suitable candidate for therapy change. In the case of Canadian patients, only those with relapsingremitting MS and who had an inadequate response to, or were unable to tolerate, one or more therapies for MS were eligible. Patients were required to have been naïve to fingolimod treatment.

A lot of exclusion criteria:
Patient exclusion criteria
Patients were excluded from the study for any of the following reasons: chronic immune system disease other than MS; immunodeficiency; malignancy other than localized basal cell carcinoma within the past 5 years; a history of cardiac arrest, myocardial infarction, ischemic heart disease or coronary spasm within the past 6 months; Mobitz type II second-degree heart block, third-degree atrioventricular block or an increased corrected QT (QTc) interval (>470 ms); having undergone a bone marrow transplant; a history of alcohol abuse within the past 5 years. Further exclusion criteria at the time of screening were: macular edema; active systemic infection; a negative test for Varicella zoster immunoglobulin G antibodies; positive tests for hepatitis B, hepatitis C or human immunodeficiency virus; tuberculosis; uncontrolled diabetes; uncontrolled or poorly controlled hypertension or asthma; cardiac failure; severe respiratory disease or pulmonary fibrosis; chronic liver or biliary disease. Patients were also excluded if they had been treated with the following medications: immunosuppressants, immunoglobulins or monoclonal antibodies within the 6 months before screening; any live or live attenuated vaccines during the month before screening; cladribine, cyclophosphamide or mitoxantrone at any time; class Ia or class III antiarrhythmic drugs at the time of screening.","NA","NA","5","multicentre","5","drug treatment, no additional ressources","2","Highly specified direction was given for how to deliver the intervention (i.e. dose,
dosing schedule, surgical procedures, educational material, and delivery)","NA","NA","NA","NA","NA","NA","NA","NA","PragMS"
"663",663,"Callesen, Jacob; Cattaneo, Davide; Brincks, John; Kjeldgaard Jorgensen, Marie-Louise; Dalgas, Ulrik","10.1177/1352458519865740","How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study.","Julian",4,"the list is long, some of them may not be justified: The inclusion criteria were as follows: age > 18, confirmed diagnosis of MS, Expanded Disability Status Scale (EDSS): 2.06.5, Six Spot Step Test (SSST) score > 8 seconds or Timed 25-Foot Walk (T25FW) > 5 seconds, relapse-free within the past 8 weeks, and no adjustment of disease-modifying medication or medication that affects gait performance and spasticity within the past 8 weeks. Exclusion criteria were as follows: co-morbidity in terms of cognitive disorders or alcohol abuse (based on clinical judgment), pathologies that did not allow systematic PRT >1 session/week within the last 3 months. Eligibility according to criteria that concerned co-morbidity, disease activity, medication, and EDSS score was provided by neurologists based on journal records. Furthermore, it was registered if participants changed disease modifying medication and/ or started/terminated medical treatment affecting gait (e.g. fampridine) during the study. Patients who had a relapse during the course of the study continued the study if possible or dropped out if it was considered a health risk to continue.","4","adverstisemenets were used: Participants were included from September 2016 to October 2018, after being invited via seven MS clinics (specified in Acknowledgements section) and targeted advertisements sent out via the Danish MS Society.","5","muli-centered","5","seems no additional efforts other intevrention-related: The exercises were conducted in machines that targeted the specified muscle groups, but type of machines could vary between centers. All training sessions were supervised by physiotherapists who were trained to deliver the intervention.","5","The content of BMCT was based on a framework that allowed individualized tailoring of exercises which challenge the generic understanding of standardization of exposure.","5","adherence was measured but seems not on a regular base and detailed information ","4","downgraded because of intensive assessments/tests","5","Primary outcomes were the T25FW and the SSST","3","17% dropouts, ITT used but no methods to adress missings was applied: Analyses were carried out as intention-to-treat, where all participants who completed the baseline assessment were included regardless of their adherence to the allocated intervention. Carry forward imputations were not used to replace missing data in the primary intention to treat analysis.","PragMS"
"664",664,"Carter, A; Daley, A; Humphreys, L; Snowdon, N; Woodroofe, N; Petty, J; Roalfe, A; Tosh, J; Sharrack, B; Saxton, J M","10.1177/1352458513519354","Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial.","Julian",3,"The inclusion criteria for the trial were clinical diagnosis of MS, as defined by the
modified McDonald criteria,9 with an Expanded Disability Status Scale (EDSS) score of
1.06.5, and able to walk a 10-metre distance; aged 1865 years; clinically stable for at
least four weeks prior to entering the study; physically able to participate in exercise
three times per week; able to provide written informed consent. Participants on
disease-modifying therapy (interferon beta, glatiramer acetate and natalizumab) had
been stable on this treatment for at least three months. Exclusion criteria were
comorbid conditions impairing the ability to be physically active three times per week;
unwilling to be randomised; living more than 20 miles from the trial centre; already
engaged in structured exercise or brisk walking ? 3 times per week for ? 30 minutes
per session for at least six months.","3","one center and adverts: A total of 120 PwMS were recruited via the Sheffield MS Clinic and flyers/community
adverts displayed at the local South Yorkshire MS Society branches.","4","An exercise physiologist supervised the delivery of the intervention but with
physiotherapist input during the early stages of the programme. During weeks 16,
participants attended two supervised sessions per week at a university exercise
research facility and engaged in one additional self-directed exercise session in their
home environment.","NA","No information about training of faviliattors: An exercise physiologist supervised the delivery of the intervention but with
physiotherapist input during the early stages of the programme.

The supervised exercise sessions incorporated cognitive-behavioural techniques (e.g.
goal setting, finding social support, understanding the costs/benefits of exercise, etc.)
to promote long-term participation in physical activity.","NA","-","4","Adherence to the supervised and home-exercise sessions was very good, with
participants attending an average of 16.2 of the 18 supervised sessions (90%; range
718 sessions) and participating in an average of 14.6 of the 18 prescribed home-
exercise sessions (81%, range 218 sessions). Home exercise during the intervention
period comprised walking, use of home exercise equipment, public facilities (including
swimming) and gardening for the majority of participants. The volumes of supervised and home-based aerobic exercise are presented in Figure 2. No serious adverse
events or serious symptom exacerbations were recorded.","4","Intensive assessments post-intervention and fu: Outcomes were assessed at baseline, and at three months (post-intervention) and nine
months after randomisation.","5","The primary outcome was self-reported exercise
behaviour at three months using the Godin Leisure Time Exercise Questionnaire
(GLTEQ)","4"," ITT and <25% attrition WITH appropriate methods to address missing data (i.e. multiple
imputation, covariate adjustment): 4

All analyses were by intention to treat, whereby participants were analysed
in the arm to which they were randomised irrespective of whether they complied with
the intervention.
Multiple imputation of missing values was performed using the
imputation by chained equations (ICE) command in Stata 12. Variables included in the
imputation were age, gender, baseline EDSS, and baseline, three- and nine-month
follow-up scores for all outcomes. Five imputations were carried out and mixed-model
analysis was performed on each imputed dataset. T","PragMS"
"665",665,"Cooper, Cindy L; Hind, Daniel; Parry, Glenys D; Isaac, Claire L; Dimairo, Munyaradzi; O'Cathain, Alicia; Rose, Anita; Freeman, Jennifer V; Martin, Leonie; Kaltenthaler, Eva C; Thake, Anna; Sharrack, Basil","10.1186/1745-6215-12-259","Computerised cognitive behavioural therapy for the treatment of depression in people with multiple sclerosis: external pilot trial.","Julian",4,"Inclusion criteria were: age of 18 years or above; BDI score of at least 14 on two consecutive occasions and no treatment from psychologist, psychotherapist or psychiatrist within the last three months. That is, the sample was rated as depressed, using the BDI, but was not necessarily self-identifying and treatment-seeking. Exclusion criteria were: poor English language skills or cognitive function (score of less than 24 on Mini Mental State Examination [20]); BDI score of at least 29 on two consecutive occasions; active suicidal ideas; current or life-time diagnosis of psychosis, organic mental disorder or substance dependency; Kurtzke Expanded Disability Status Scale (EDSS) score of 8.5 or above [21]). The EDSS is a tool for quantifying MS-related disability. Our threshold for ineligibility was intended to exclude those who were restricted to bed for much of the day and had only limited use of their arms, thus effectively precluding use of a computer mouse and keyboard. The clinical psychologist assessed participants for major depressive disorder using the Mini-International Neuropsychiatric Interview (MINI) [22], but this was not an eligibility criterion.","5","We invited 582 people diagnosed with MS to screen for a study evaluating an intervention for low mood by completing a screening questionnaire including prognostic and eligibility criteria and a copy of the Beck Depression Inventory II-21 Item (BDI) [18]. All invitees had relapsing remitting or secondary progressive MS, according to the modified McDonald criteria [19]. Invitations were made between October 2008 and July 2009: face-to-face by consultants in the Sheffield Teaching Hospitals NHS Foundation Trust MS clinic (n = 288); by the Sheffield MS nurses visiting patients (n = 4); and, using ink-signed personalised letters mailed out from a neuropsychologist at Sheffield (n = 40) as well as from consultant neurologists at the Walton Centre for Neurology and Neurosurgery NHS Trust, Liverpool (n = 250). At Sheffield potential participants were identified from clinic attenders, MS nurse patient visits and from patients with MS from the caseload of the neuropsychologist. At the Walton Centre potential participants were identified solely from the MS register. The MS services in both sites are specific entities and not general neurology clinics.","4","Beating the Blues® consists of eight computer-interactive sessions, of approximately 50 minutes each in duration, designed to be taken weekly. Each session consists of a mix of cognitive and behavioural strategies, which the user customises to their individual problems.","4","Beating the Blues® consists of eight computer-interactive sessions, of approximately 50 minutes each in duration, designed to be taken weekly. Each session consists of a mix of cognitive and behavioural strategies, which the user customises to their individual problems. A client service receipt inventory was used at baseline, 8 weeks and 21 weeks to identify concomitant medication and service use in both arms: the research protocol did not manualise or restrict treatment as usual.","4","The time taken for participants to complete the study intervention (13 to 20 weeks from randomisation) was longer than expected or than recommended in the product manual, due to the poor adherence of participants with the weekly schedule.

The PCTs delivering CCBT reported that they assumed that patients who were non-adherent and noncontactable beyond two weeks had discontinued treatment and made no further effort to contact them. Some but not all PCTs informed the patientsGPinsucha situation.","2","The PCTs delivering CCBT reported that they assumed that patients who were non-adherent and noncontactable beyond two weeks had discontinued treatment and made no further effort to contact them. Some but not all PCTs informed the patientsGPinsucha situation.","5","The collection of outcome data by postal questionnaire proved to be challenging, with multiple attempts to obtain data from many participants, particularly at later outcome assessment points. Nevertheless, primary outcome assessments were available for 21 (88%) participants at 8 weeks from randomisation (or end of treatment if later) and 18 (75%) participants at a further three months follow-up. Furthermore, the completion rate for those questionnaires returned was high (Table 2).","5","The primary clinical endpoint was the mean change in self-reported symptoms of depression","4"," ITT and <25% attrition WITH appropriate methods to address missing data (i.e. multiple
imputation, covariate adjustment): 4

Primary analysis was an Intention To Treat (ITT) analysis which analysed all 24 participants according to their randomised treatment assignment ignoring non compliance, protocol deviations and withdrawal.

Response rates on questionnaire items were high and last observation carried forward was used to impute the few missing items.","PragMS"
"666",666,"Cutter, Gary; Veneziano, Antonella; Grinspan, Augusto; Al-Banna, Mahir; Boyko, Alexey; Zakharova, Maria; Maida, Eva; Pasic, Marija Bosnjak; Gandhi, Sanjay K; Everts, Robin; Cordioli, Cinzia; Rossi, Silvia","10.1016/j.msard.2019.04.036","Higher satisfaction and adherence with glatiramer acetate 40mg/mL TIW vs 20mg/mL QD in RRMS.","Julian",5,"not downgraded because make sense: Key inclusion criteria permitted the participation of men or women ?18 years of age with confirmed and documented RRMS diagnosis (as defined by the Revised McDonald criteria) (Polman et al., 2011), Kurtzke Expanded Disability Status Scale (EDSS) score of 0 to 5.5 at the screening visit, and, 30 days prior to randomization, a stable neurological condition, relapse-free status, and no use of any corticosteroid or adrenocorticotropic hormone treatment.
Key exclusion criteria were previous exposure to GA40, a progressive form of MS or neuromyelitis optica, the use of experimental or investigational drugs, participation in clinical drug studies within the 6 months before screening, recent use of immunosuppressive medications or immunoglobulins/monoclonal antibodies, or previous use of alemtuzumab, cladribine, cyclophosphamide, or mitoxantrone.","NA","NA","5","multi-centered: 88 study centers in 14 countries (Russia, Poland, Italy, France, Croatia, US [including Puerto Rico], Mexico, Spain, Austria, Turkey, Belgium, Argentina, Germany, and Finland) across different geographic regions.","NA","No information on the orga of the intervention","NA","No information on the orga of the intervention","NA","Main aim was to measure adherence: In this phase 4, open-label, interventional study, we used the Medication Satisfaction Questionnaire (MSQ) (Canuso et al., 2010)to compare patient-reported medication satisfaction, and Multiple Sclerosis Treatment Adherence Questionnaire (MS-TAQ) (Wicks et al., 2011) to assess the adherence of patients with RRMS on GA40 versus those on GA20.

adherence measurement and evaluation: Adherence to treatment when the dosing schedule differs is complicated, because missing one dose has potentially differential impacts on treatment. Thus, adherence was measured using the self-reported MS-TAQ. MS-

TAQ includes 30 questions in 3 subscales: Barriers, Side Effects, and Coping Strategies. The total score ranges from 0 to 86, with a lower score reflecting higher adherence (Wicks et al., 2011). Adherence evaluation occurred at Months 1, 3, and 6.","3","downgraded becase of intensive assesments: Patients also participated in self-reported, daily athome MSQ assessments on Days 1 through 7 after the baseline visit. Patients who stopped treatment with the study drug before Month 6 were considered early treatment discontinuation patients and attended an early treatment discontinuation visit.","5","The primary endpoint was patient-reported medication satisfaction using the Medication Satisfaction Questionnaire (MSQ).","5","ITT and <10% attrition (with or without methods to address missing data): 5

modified ITT and 8% missing: The intention-to-treat (ITT) analysis set included all randomly assigned participants and were analyzed according to the treatment group to which they were randomly assigned, regardless of which treatment they actually received. Patient-reported endpoints were analyzed based on the full analysis set (FAS), which included all patients in the ITT population who received at least 1 dose of study drug and had at least 1 post-baseline assessment. Safety analyses were performed on the safety analysis set, which included all patients who received at least 1 dose of a study drug.","PragMS"
"668",668,"Dodd, K J; Taylor, N F; Shields, N; Prasad, D; McDonald, E; Gillon, A","10.1177/1352458511409084","Progressive resistance training did not improve walking but can improve muscle performance, quality of life and fatigue in adults with multiple sclerosis: a randomized controlled trial.","Julian",4,"To be included, people had to be aged 18 years or more, have a confirmed diagnosis of relapsingremitting MS, have an Ambulation Index score19 of 2, 3 or 4 (mild to moderate walking disabilities), and have received medical clearance to participate. Volunteers were excluded if they had an acute exacerbation of MS within 2 months of starting the program, had benign or progressive/relapsing types of MS, had a serious unstable medical condition, had any concurrent condition, for example stroke, or had participated in a PRT program in the 6 months before training started.","4","Participants were recruited through a statewide organization providing education and support to people with MS, and a large specialist MS outpatient clinic.

 Recruitment information flyers were sent by mail to all potential participants registered on the mailing lists of both organizations. If interested, volunteers were asked to contact one of the researchers (KD) by telephone, during which volunteers were screened to ensure they satisfied the inclusion criteria.","5","The experimental group completed a 10-week (two times per week), PRT program in one of four community gymnasiums in metropolitan and regional areas.

The training program conducted in this trial is typical of those that members of the community might undertake if they attended their local gymnasium.","NA","No information about training: Each program was attended by a group of up to 12 participants, and they were supervised by up to three experienced trainers (physiotherapists and registered personal sports trainers). Each trainer directly supervised a sub-group of three or four participants. Each exercise session was completed in around 45 min, and at the end of each session there was a 30-min recovery period when the participants had refreshments and time to socialize.","5","This is noteworthy because people with disability (including people with MS) may have restricted opportunities to participate in exercise programs taking place in community settings.44 The training also took the form of small group-based training; this is important because it made exercising a more social activity, and it was more cost effective and time efficient than individual training.

Each participant had a logbook detailing each exercise, the weight lifted, the number of repetitions, and the number of sets completed. This was filled in at the end of each session.","4","Each participant had a logbook detailing each exercise, the weight lifted, the number of repetitions, and the number of sets completed. This was filled in at the end of each session.

There was good adherence with the training program (92%), compared with the control groups adherence with the increased attention and social activities program (62%).","4","Intensive outcome assessments: Outcome measurements were taken three times: at baseline, after 10 weeks to determine the immediate effects of the intervention, and after a further 12 weeks (week 22) to determine if any benefits from the program had been sustained. After completing their 10-week intervention programs, participants were asked to return to their usual activities and not to continue or commence resistance training until after the follow-up assessment session. Outcome measures were taken by a registered physiotherapist blinded to group allocation, and experienced in musculoskeletal evaluation.","5","Primary outcome measures. Changes in walking endurance were measured with the 2-minute walk test (2MWT).","4"," ITT and <25% attrition WITH appropriate methods to address missing data (i.e. multiple
imputation, covariate adjustment): 4

Intention-to-treat analysis was applied, with all participants who were allocated and commenced their program included in analysis. Where data were missing, the carry forward technique was used","PragMS"
"669",669,"Feys, Peter; Moumdjian, Lousin; Van Halewyck, Florian; Wens, Inez; Eijnde, Bert O; Van Wijmeersch, Bart; Popescu, Veronica; Van Asch, Paul","10.1177/1352458517740211","Effects of an individual 12-week community-located ""start-to-run"" program on physical capacity, walking, fatigue, cognitive function, brain volumes, and structures in persons with multiple sclerosis.","Julian",4,"Adults diagnosed with MS were included based on the ability to walk 5?km without rest or use of assistive device. Interested pwMS attended an information session and jointly walked 5?km for verification of their ability. Exclusion criteria were reports to have run 5?km in the preceding 6?months or a relapse occurring in the preceding 3?months.","4","Adults with MS were recruited through announcements at REVAL rehabilitation research institute (UHasselt), Flemish MS rehabilitation centers and MS Society, and Move-to-Sport.","5","community-located running training in pwMS with mild disability. pwMS who performed a 12-week running training program with the aim to run 5?km on a public event were compared with a waitlist control group.","5","pwMS received training instructions by email. They were asked to train three times weekly according to a personalized training intensity schedule that was based on their baseline aerobic capacity. An illustration of a training protocol is provided in supplementary material S1. During the first weeks, training consisted of longer walking bouts, interspersed with short 1? running bouts. The relative amount of running gradually increased until participants were able to run 5?km without interruption at 12?weeks. pwMS wore an activity tracker (Withings Pulse Ox) at the waist that registered the intensity of steps per minute.","4","Participants performed their individual training session simultaneously, while being observed by the project dedicated researcher (MSc exercise physiology and PhD) and master students (rehabilitation sciences and physiotherapy). This allowed to monitor individual progress and discuss potential risk for injuries.","3","Participants were asked to weekly upload data to allow remote supervision of the training adherence by the research assistant. If a participant had been inactive, a phone call was made for enquiry.","4","First, descriptive characteristics and outcomes were registered. After 30? rest, physical tests were performed. Following another 1.5-hour rest, cognitive function tests were performed. Evaluation was performed at REVAL by a study nurse, a PhD student in Rehabilitation Sciences and Physiotherapy, and the project dedicated researcher (MSc in exercise physiology, PhD).","5","The primary outcome measures were physical fitness, walking capacity and perceived ability, functional mobility, and quality of life.","5","Intention-to-treat
analysis was performed.","PragMS"
"670",670,"Finch, Paul; Bessonnette, Susan","10.1016/j.jbmt.2013.04.001","A pragmatic investigation into the effects of massage therapy on the self efficacy of multiple sclerosis clients.","Julian",5,"The inclusion criterion for the study was a diagnosis of multiple sclerosis, and therefore the spectrum of clinical presentations was broad, as would be expected in this client population.","5","Participants were clients seen in the multiple sclerosis clinics at Sutherland-Chan School, in which the study was conducted. Clients were provided with information about the clinic by the local chapter of the Multiple Sclerosis Society, and self selected on that basis.","4","single-center: clients attending the clinic were interviewed, and their case histories recorded.","5","The decision as to the length of the treatment series was pragmatic and related to the length of the students specialty clinic rotations, which are scheduled over an eight week period.

All treatmentsweredelivered by supervised student therapists in the final term of their two year massage therapy program.

All treatment plans were approved by the clinical teacher in charge. The teacher also monitored treatment delivery, which involved the application of a variety of techniques appropriate to the clients needs.","4","All treatment plans were approved by the clinical teacher in charge. The teacher also monitored treatment delivery, which involved the application of a variety of techniques appropriate to the clients needs. These included effleurage, petrissage, stroking, frictions, vibrations, tapotment, rocking and shaking, details of which have been reviewed by Yates (2004). These techniques all involve the manipulation of soft tissues to which was added joint mobilization, myofascial techniques, rehabilitative exercise and hydrotherapy in order to reflect the broad therapeutic armamentarium of the massage therapist.","4","The teacher also monitored treatment delivery, which involved the application of a variety of techniques appropriate to the clients needs.","4","For both treatment and control groups, self-efficacy scores were obtained before the first treatment, midtreatment series, after the last treatment in the series, four weeks after the final treatment and again eight weeks after the final treatment had been received. Thus, beyond baseline measurement there were four independent variables e these being the MSSE survey scores at different points in time.","5","The outcome measures for the current research were the scores yielded by the Multiple Sclerosis Self Efficacy (MSSE) survey.","NA","NI","PragMS"
