"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"61","0","0","1","1","0","1","0","0","NA","deferred","0","1","0","1","1","0","1","1","1","1","0","1","0","0","NA","0","NA","1","1","0","0","NA","0","NA","1","1","1","1"
"62","0","0","1","0","0","1","0","0","NA","0","0","1","0","1","0","0","1","0","0","1","1","1","0","0","NA","0","NA","0","1","0","0","NA","0","NA","0","1","1","0"
"63","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","deferred","1","deferred","0","1","0","deferred","deferred","0","NA","0","1","0","deferred","NA","0","NA","1","1","1","0"
"64","1","1","deferred","deferred","0","1","1","1","1","0","deferred","1","0","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","deferred","1","1","0","1","1","0","1","1","1","1","1"
"65","0","1","deferred","deferred","0","1","1","1","1","0","0","1","0","1","1","0","1","1","deferred","1","deferred","1","0","1","1","deferred","deferred","1","1","0","1","1","0","deferred","1","1","1","0"
"66","0","deferred","0","0","0","1","deferred","deferred","deferred","0","0","1","0","1","1","0","1","1","0","deferred","0","1","0","deferred","NA","0","NA","1","1","0","deferred","NA","0","NA","1","deferred","1","0"
"67","0","0","deferred","0","0","1","0","0","deferred","0","deferred","1","0","1","0","0","1","deferred","0","deferred","0","1","0","deferred","NA","0","NA","0","1","0","0","NA","0","NA","deferred","deferred","deferred","0"
"68","0","1","0","0","0","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0"
"69","0","0","0","0","0","1","deferred","0","deferred","0","0","deferred","0","1","0","0","1","0","deferred","1","0","deferred","0","deferred","NA","0","NA","0","1","0","deferred","NA","0","NA","0","0","deferred","deferred"
"70","0","deferred","1","0","0","1","1","deferred","deferred","0","deferred","1","0","1","1","0","1","0","0","1","0","1","0","deferred","deferred","0","deferred","0","1","0","1","1","0","0","deferred","deferred","1","0"
"71","0","1","deferred","0","0","1","0","0","1","deferred","deferred","1","0","1","1","0","1","0","1","1","1","1","1","deferred","1","1","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"72","0","0","0","0","0","0","0","deferred","deferred","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","0","deferred","0","deferred","0","1","0","0","NA","1","0","1","0"
"73","0","deferred","0","0","0","0","1","1","NA","0","0","1","0","1","deferred","0","deferred","deferred","deferred","1","deferred","1","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","deferred","deferred","1","0"
"75","0","deferred","1","deferred","0","1","1","1","NA","0","0","1","deferred","1","1","0","1","0","deferred","1","1","1","deferred","deferred","NA","deferred","NA","1","1","0","deferred","NA","0","NA","1","1","1","0"
"76","0","deferred","deferred","0","0","1","1","1","1","1","0","1","0","1","1","0","1","deferred","0","1","deferred","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","0"
"77","0","1","0","0","0","1","deferred","deferred","1","1","1","1","0","1","1","0","1","0","deferred","1","deferred","1","1","1","1","1","NA","1","1","0","1","1","deferred","NA","deferred","deferred","1","1"
"78","0","0","deferred","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","1","deferred","1","0","1","1","0","NA","1","1","0","1","1","0","deferred","1","1","1","0"
"79","0","1","0","0","0","1","0","0","NA","0","0","1","1","1","1","0","1","1","0","1","1","0","0","NA","NA","0","NA","1","1","0","NA","NA","0","NA","0","1","1","1"
"82","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","0"
"83","1","deferred","1","1","0","1","deferred","1","NA","0","deferred","1","0","1","1","1","1","0","deferred","1","deferred","1","0","deferred","NA","0","deferred","1","1","0","deferred","NA","0","NA","1","0","1","0"
"81","1","1","1","1","0","1","1","1","1","1","deferred","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"157","1","1","1","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","1","1","1","1","1","1","1","1","deferred","deferred","NA","deferred","NA","1","deferred","deferred","deferred","NA","deferred","NA","1","deferred","1","deferred"
"84","0","deferred","0","0","0","1","1","1","1","1","deferred","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","1"
"86","0","0","0","0","0","1","1","1","NA","0","0","1","0","1","1","0","0","0","0","1","0","0","0","NA","NA","0","NA","0","1","0","NA","NA","0","NA","1","0","1","0"
"85","0","0","0","0","0","1","1","1","NA","0","0","1","0","1","1","0","0","1","0","1","0","0","0","NA","NA","0","NA","0","1","0","NA","NA","0","NA","1","0","1","0"
"87","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","1","1","1","1","1","1","1","1","deferred","NA","1","NA","1","1","1","deferred","NA","1","NA","1","1","1","deferred"
