"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","3","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","3","deferred","3","3","deferred","deferred","deferred","deferred"
"1568","deferred","4","deferred","deferred","deferred","deferred","deferred","4","5"
"1569","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred"
"1570","3","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred"
"1769","deferred","NA","deferred","NA","deferred","NA","deferred","deferred","deferred"
"1770","deferred","NA","4","deferred","deferred","NA","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","NA","deferred","NA","4","deferred","deferred"
"1773","4","deferred","deferred","deferred","deferred","deferred","2","3","5"
"648","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"650","4","deferred","5","deferred","deferred","deferred","5","deferred","deferred"
"651","deferred","5","deferred","deferred","5","deferred","4","5","4"
"655","4","deferred","5","3","deferred","deferred","3","deferred","deferred"
"657","deferred","4","4","deferred","deferred","deferred","deferred","deferred","deferred"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"663","deferred","4","5","deferred","deferred","deferred","deferred","4","deferred"
"664","3","4","deferred","deferred","deferred","deferred","deferred","5","deferred"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","2","deferred"
"666","deferred","NA","deferred","NA","deferred","4","3","5","deferred"
"668","deferred","deferred","5","deferred","deferred","deferred","deferred","4","5"
"669","deferred","deferred","deferred","deferred","deferred","2","deferred","3","deferred"
"670","deferred","deferred","deferred","deferred","5","NA","deferred","5","5"
"671","deferred","deferred","5","4","deferred","deferred","3","4","deferred"
"673","deferred","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"674","deferred","NA","deferred","deferred","deferred","NA","2","deferred","deferred"
"675","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","5"
"677","deferred","deferred","deferred","5","deferred","NA","4","5","deferred"
"678","deferred","5","deferred","deferred","NA","NA","deferred","deferred","4"
"679","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","3"
"680","deferred","3","deferred","deferred","deferred","NA","deferred","5","deferred"
"681","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","deferred","5","deferred","deferred","deferred","2","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","NA","4","5","deferred"
"685","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"686","deferred","5","deferred","4","deferred","NA","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"688","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","4"
"690","deferred","NA","4","deferred","deferred","NA","deferred","deferred","4"
"691","4","5","deferred","deferred","3","NA","4","deferred","5"
"692","deferred","deferred","5","deferred","deferred","deferred","4","deferred","deferred"
"693","deferred","NA","deferred","deferred","deferred","NA","deferred","3","deferred"
"694","deferred","NA","deferred","deferred","deferred","deferred","deferred","5","deferred"
"695","deferred","5","deferred","deferred","deferred","NA","deferred","5","5"
"696","deferred","deferred","3","deferred","deferred","NA","3","4","deferred"
"697","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred","5"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","5","deferred","deferred","deferred","NA","deferred","5","5"
"713","3","5","3","deferred","deferred","NA","deferred","deferred","deferred"
"714","4","deferred","5","5","5","NA","deferred","deferred","deferred"
"715","deferred","deferred","5","deferred","4","NA","4","5","deferred"
"722","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"725","deferred","deferred","5","deferred","5","NA","deferred","deferred","deferred"
"733","deferred","deferred","5","deferred","deferred","deferred","3","deferred","deferred"
