"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.723758505863617,0.587749872816442,0.839872973748149,0.861111111111111,0.794706300742198,0.921875,0.69811320754717,0.656184486373166,0.737945492662474
"Eligibility",0.558333333333333,NA,NA,0.866666666666667,NA,NA,0.716981132075472,NA,NA
"Recruitment",0.479115479115479,NA,NA,0.714285714285714,NA,NA,0.735849056603774,NA,NA
"Setting",0.558333333333333,NA,NA,0.909090909090909,NA,NA,0.792452830188679,NA,NA
"Organization",0.72680412371134,NA,NA,0.888888888888889,NA,NA,0.660377358490566,NA,NA
"Flex. delivery",0.888888888888889,NA,NA,0.923076923076923,NA,NA,0.754716981132076,NA,NA
"Flex. adherence",0.879818594104308,NA,NA,0.923076923076923,NA,NA,0.754716981132076,NA,NA
"Follow-up",0.393129770992366,NA,NA,0.8,NA,NA,0.716981132075472,NA,NA
"Outcome",0.752336448598131,NA,NA,0.923076923076923,NA,NA,0.509433962264151,NA,NA
"Analysis",0.700564971751412,NA,NA,0.789473684210526,NA,NA,0.641509433962264,NA,NA
