"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.798214724428794,0.88961038961039,0
"A1",0.873303167420814,0.964285714285714,0
"A2",0.733333333333333,0.866071428571429,0
"A3",0.669616519174041,0.839285714285714,0
"A4",0.865384615384615,0.955357142857143,0
"A5",0.758360302049622,0.964285714285714,0
"A6",0.742105263157895,0.9375,0
"A7",0.861042183622829,0.928571428571429,0
"A8",0.896200185356812,0.946428571428571,0
"A9",0.882034306349684,0.9375,0
"A10",0.315806697938257,0.5,0
"A11",-0.024390243902439,0.946428571428571,0
