"run_folder","dataset_n","no_results_n","no_results","required_retries_n","required_retries","minor_formatting_issues_n","minor_formatting_issues"
"claude2_chat_gpt3.5_prompt_amstar",112,0,NA,1,"score-A6-missing",2,"missing-squared-brackets-in-numbered-list, wrong-response-partial-unclear-etc"
"claude2_chat_gpt3.5_prompt_prisma",112,0,NA,28,"too-short, too-long",11,"wrong-response-partial-unclear-etc, missing-squared-brackets-in-numbered-list, missing-squared-brackets-end-of-line, missing-squared-brackets-for-na, missing-squared-brackets-pre-dash"
"claude2_chat_prisma_amstar",112,0,NA,3,"completely-misunderstood, score-p20-missing, scores-p17-to-p20-duplicated",39,"unsolicited-ranges, wrong-response-partial-unclear-etc, missing-squared-brackets-in-numbered-list"
"claude2_chat_prisma_amstar_rep",112,0,NA,1,"scores-p21-to-p27-missing",37,"unsolicited-ranges, wrong-response-partial-unclear-etc, missing-squared-brackets-in-numbered-list, missing-squared-brackets-na-with-slash"
"claude2_prisma_amstar",112,0,NA,0,"",6,"unsolicited-ranges, wrong-response-partial-unclear-etc"
"claude2_prisma_amstar_rep",112,0,NA,0,"",9,"unsolicited-ranges, wrong-response-partial-unclear-etc"
"gpt3.5_amstar",112,0,NA,2,"too-short",49,"missing-squared-brackets-in-unnumbered-list, missing-squared-brackets-for-na, wrong-response-partial-unclear-etc, wrong-response-partial-unclear-etc-without-squared-brackets, not-applicable-missing-na-in-squared-brackets"
"gpt3.5_amstar_rep",112,0,NA,0,"",47,"missing-squared-brackets-in-unnumbered-list, missing-squared-brackets-for-na, wrong-response-partial-unclear-etc-without-squared-brackets, wrong-response-partial-unclear-etc"
"gpt3.5_prisma",112,3,"too-short, exceeded-max-tokens-2000-and-no-scores, no-scores",7,"exceeded-max-tokens-2000, nearly-all-na",1,"missing-squared-brackets-for-na"
"gpt3.5_prisma_rep",112,3,"too-short, exceeded-max-tokens-2500, scores-missing",3,"exceeded-max-tokens-2500, score-p1-missing",5,"wrong-response-partial-unclear-etc, missing-squared-brackets-for-na"
"gpt4_prisma_amstar",112,3,"too-long-for-32k-context-window",0,"",0,""
"gpt4_prisma_amstar_rep",112,0,"",3,"exceeded-max-tokens-4k",0,""
