"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.409303129863393,0.197440468500913,0.616019182059605,0.548387096774194,0.431409723545223,0.666556688005171,0.876984126984127,0.837301587301587,0.914632132796021
"Eligibility",0.410526315789474,NA,NA,0.5,NA,NA,0.928571428571429,NA,NA
"Recruitment",0.0117647058823528,NA,NA,0.4,NA,NA,0.910714285714286,NA,NA
"Setting",0.350724637681159,NA,NA,0.636363636363636,NA,NA,0.803571428571429,NA,NA
"Organization",0.517241379310345,NA,NA,0.5,NA,NA,0.964285714285714,NA,NA
"Flex. delivery",0.848648648648649,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Flex. adherence",NA,NA,NA,NA,NA,NA,1,NA,NA
"Follow-up",NA,NA,NA,NA,NA,NA,1,NA,NA
"Outcome",0.182260681449432,NA,NA,0.64,NA,NA,0.553571428571429,NA,NA
"Analysis",0.358922558922559,NA,NA,0.272727272727273,NA,NA,0.803571428571429,NA,NA
