"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.168495942775833,0.0602426962401923,0.282088102061833,0.376984126984127,0.315185225597534,0.441051021552976,0.5,0.444494851330963,0.557489275653164
"Eligibility",-0.0382978723404255,NA,NA,0.395348837209302,NA,NA,0.232142857142857,NA,NA
"Recruitment",0.24865831842576,NA,NA,0.379310344827586,NA,NA,0.482142857142857,NA,NA
"Setting",0.369369369369369,NA,NA,0.44,NA,NA,0.553571428571429,NA,NA
"Organization",0.0903183885640025,NA,NA,0.391304347826087,NA,NA,0.589285714285714,NA,NA
"Flex. delivery",0.120297643654403,NA,NA,0.172413793103448,NA,NA,0.482142857142857,NA,NA
"Flex. adherence",0.0837553564472145,NA,NA,0.333333333333333,NA,NA,0.678571428571429,NA,NA
"Follow-up",0.289855072463768,NA,NA,0.428571428571429,NA,NA,0.75,NA,NA
"Outcome",0.0920881971465628,NA,NA,0.575,NA,NA,0.285714285714286,NA,NA
"Analysis",0.0182716049382716,NA,NA,0.225806451612903,NA,NA,0.446428571428571,NA,NA
