"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.441066354887102,0.636904761904762,0
"Eligibility",0.385365853658537,0.625,0
"Recruitment",0.401621223286662,0.589285714285714,0
"Setting",0.510489510489511,0.625,0
"Organization",0.209554831704669,0.5,0
"Flex. delivery",0.343869209809264,0.553571428571429,0
"Flex. adherence",0.194244604316547,0.589285714285714,0
"Follow-up",0.533333333333333,0.589285714285714,0
"Outcome",0.373134328358209,0.946428571428571,0
"Analysis",0.430025445292621,0.714285714285714,0
