"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.521131022603311,0.703042328042328,0
"P1",0.0624048706240485,0.901785714285714,0
"P2",0.0330569124162218,0.321428571428571,0
"P3",0,0.982142857142857,0
"P4",0.0518731988472623,0.580357142857143,0
"P5",0.677764077270859,0.9375,0
"P6",0.273775216138328,0.839285714285714,0
"P7",0.0346069728547537,0.401785714285714,0
"P8",0.476928824957968,0.776785714285714,0
"P9",0.3658383139352,0.839285714285714,0
"P10",0.516795069337442,0.75,0
"P11",0.238235294117647,0.669642857142857,0
"P12",0.221164021164021,0.589285714285714,0
"P13",0.680384499849805,0.830357142857143,0
"P14",0.345813988318107,0.651785714285714,0
"P15",0.212121212121212,0.535714285714286,0
"P16",0.178602243313201,0.848214285714286,0
"P17",0.404255319148936,0.6875,0
"P18",0.198990323937737,0.696428571428571,0
"P19",0.1492964761549,0.455357142857143,0
"P20",0.396551724137931,0.642857142857143,0
"P21",0.467617349970291,0.714285714285714,0
"P22",0.0550621669626998,0.491071428571429,0
"P23",0.180154534363562,0.839285714285714,0
"P24",0.00591715976331353,0.705357142857143,0
"P25",0.266775777414075,0.642857142857143,0
"P26",-0.0499999999999998,0.892857142857143,0
"P27",0.288972490007054,0.758928571428571,0
