"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.504902335683803,0.701446280991736,0.214285714285714
"A1",0.108148148148148,0.402777777777778,0.357142857142857
"A2",0.55359765051395,0.768292682926829,0.267857142857143
"A3",0.0510051503572022,0.484848484848485,0.116071428571429
"A4",0.214521452145215,0.815217391304348,0.178571428571429
"A5",0.35632183908046,0.779220779220779,0.3125
"A6",0.420889348500517,0.905660377358491,0.0535714285714286
"A7",0.55601516718373,0.762886597938144,0.133928571428571
"A8",0.0784902703408648,0.192307692307692,0.303571428571429
"A9",0.809018567639257,0.901098901098901,0.1875
"A10",0.329706202393906,0.547945205479452,0.348214285714286
"A11",0.517241379310345,0.96039603960396,0.0982142857142857
