"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","deferred","deferred","deferred","NA","deferred","deferred","5"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1569","deferred","deferred","deferred","deferred","deferred","3","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","5","4","deferred","deferred","NA","5"
"1772","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"648","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"650","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"655","deferred","NA","deferred","NA","deferred","deferred","4","deferred","deferred"
"657","deferred","4","5","deferred","5","deferred","deferred","5","5"
"663","4","4","deferred","5","5","deferred","4","5","deferred"
"664","deferred","deferred","4","deferred","deferred","deferred","4","deferred","deferred"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"666","deferred","NA","deferred","NA","NA","deferred","deferred","5","5"
"668","4","4","deferred","deferred","deferred","deferred","4","deferred","4"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"670","deferred","deferred","deferred","deferred","4","deferred","4","5","deferred"
"671","deferred","deferred","deferred","5","deferred","deferred","deferred","5","deferred"
"673","5","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"674","deferred","deferred","3","3","3","deferred","deferred","5","deferred"
"675","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","4","deferred","deferred","NA","4","5","deferred"
"678","deferred","NA","4","deferred","deferred","deferred","4","deferred","deferred"
"679","deferred","deferred","deferred","deferred","4","deferred","deferred","5","5"
"680","4","deferred","deferred","4","deferred","deferred","4","5","deferred"
"681","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","5","deferred","5","deferred"
"685","deferred","5","deferred","3","deferred","deferred","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"687","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"689","deferred","deferred","deferred","5","deferred","deferred","deferred","5","5"
"690","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"691","4","4","deferred","4","deferred","5","4","deferred","deferred"
"692","deferred","deferred","deferred","4","deferred","deferred","deferred","5","5"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred"
"694","4","4","deferred","deferred","4","deferred","4","5","deferred"
"695","5","deferred","5","deferred","deferred","NA","deferred","5","5"
"697","4","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"705","deferred","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"712","deferred","deferred","deferred","4","2","NA","NA","deferred","deferred"
"713","deferred","4","3","deferred","deferred","deferred","deferred","deferred","2"
"714","deferred","4","deferred","deferred","5","deferred","deferred","5","deferred"
"715","deferred","deferred","deferred","4","deferred","deferred","4","deferred","4"
"722","deferred","deferred","5","5","5","4","deferred","deferred","deferred"
"725","4","deferred","deferred","deferred","4","NA","4","5","deferred"
"733","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
