"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.195219683655536,0.648936170212766,0.80293501048218
"Eligibility",0.464646464646465,0.733333333333333,0.716981132075472
"Recruitment",-0.2421875,0.307692307692308,0.754716981132076
"Setting",0.253521126760563,0.909090909090909,0.792452830188679
"Organization",-2.0873786407767,0.4,0.905660377358491
"Flex. delivery",0.801498127340824,0.666666666666667,0.886792452830189
"Flex. adherence",0.846820809248555,0.9,0.811320754716981
"Follow-up",-0.204545454545454,0.5,0.773584905660377
"Outcome",-0.0816326530612244,0.714285714285714,0.735849056603774
"Analysis",-0.2421875,0.625,0.849056603773585
