"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.317834782217017,0.457446808510638,0.80293501048218
"Eligibility",0.509907529722589,0.533333333333333,0.716981132075472
"Recruitment",-0.122267759562842,0.230769230769231,0.754716981132076
"Setting",-0.0767494356659142,0.454545454545455,0.792452830188679
"Organization",-0.127659574468085,0.4,0.905660377358491
"Flex. delivery",0.65415986949429,0.166666666666667,0.886792452830189
"Flex. adherence",0.797864225781846,0.8,0.811320754716981
"Follow-up",-0.184959349593496,0.333333333333333,0.773584905660377
"Outcome",-0.0816326530612244,0.714285714285714,0.735849056603774
"Analysis",-0.0860655737704918,0.25,0.849056603773585
