"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.65101361512885,0.6166343662319,0.682717882512759,0.792568395263373,0.775655578423885,0.810067818722048,0.190145502645503,0.17228835978836,0.209316995677644
"P1",0.274074074074074,NA,NA,0.935185185185185,NA,NA,0.0357142857142857,NA,NA
"P2",0.0113493064312737,NA,NA,0.125,NA,NA,0.142857142857143,NA,NA
"P3",0,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"P4",0.547169811320755,NA,NA,0.936170212765957,NA,NA,0.160714285714286,NA,NA
"P5",0.784822286263208,NA,NA,0.962264150943396,NA,NA,0.0535714285714286,NA,NA
"P6",0.556728232189974,NA,NA,0.910891089108911,NA,NA,0.0982142857142857,NA,NA
"P7",0.0824524312896406,NA,NA,0.415094339622642,NA,NA,0.0535714285714286,NA,NA
"P8",0.583546363002556,NA,NA,0.824175824175824,NA,NA,0.1875,NA,NA
"P9",0.362242663162505,NA,NA,0.865979381443299,NA,NA,0.133928571428571,NA,NA
"P10",0.794537301263759,NA,NA,0.901098901098901,NA,NA,0.1875,NA,NA
"P11",0.432432432432432,NA,NA,0.766233766233766,NA,NA,0.3125,NA,NA
"P12",0.632011264961277,NA,NA,0.827160493827161,NA,NA,0.276785714285714,NA,NA
"P13",0.721911855990068,NA,NA,0.846153846153846,NA,NA,0.535714285714286,NA,NA
"P14",0.411479385610348,NA,NA,0.69047619047619,NA,NA,0.25,NA,NA
"P15",0.300624442462088,NA,NA,0.621621621621622,NA,NA,0.339285714285714,NA,NA
"P16",0.273584905660377,NA,NA,0.884210526315789,NA,NA,0.151785714285714,NA,NA
"P17",0.871264367816092,NA,NA,0.95,NA,NA,0.285714285714286,NA,NA
"P18",0.777689559348948,NA,NA,0.945054945054945,NA,NA,0.1875,NA,NA
"P19",0.653153153153153,NA,NA,0.858974358974359,NA,NA,0.303571428571429,NA,NA
"P20",0.451383786431546,NA,NA,0.642857142857143,NA,NA,0.5,NA,NA
"P21",0.532261432449363,NA,NA,0.753086419753086,NA,NA,0.276785714285714,NA,NA
"P22",0.241131925069749,NA,NA,0.604651162790698,NA,NA,0.232142857142857,NA,NA
"P23",0.193415637860082,NA,NA,0.857142857142857,NA,NA,0.125,NA,NA
"P24",0.0028490028490028,NA,NA,0.768518518518518,NA,NA,0.0357142857142857,NA,NA
"P25",0.255126547201182,NA,NA,0.643564356435644,NA,NA,0.0982142857142857,NA,NA
"P26",0.236363636363636,NA,NA,0.972727272727273,NA,NA,0.0178571428571429,NA,NA
"P27",0.411992263056093,NA,NA,0.8,NA,NA,0.151785714285714,NA,NA
