"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.96703299777199,0.953053967527006,0.980735809889946,0.981223922114047,0.973202945916418,0.989199645709739,0.450935471554028,0.429935089728904,0.474589228659179
"P1",1,NA,NA,1,NA,NA,0.103092783505155,NA,NA
"P2",1,NA,NA,1,NA,NA,0.896907216494845,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0309278350515464,NA,NA
"P4",1,NA,NA,1,NA,NA,0.412371134020619,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0824742268041237,NA,NA
"P6",0.705837755875663,NA,NA,0.949367088607595,NA,NA,0.185567010309278,NA,NA
"P7",0.914650241970963,NA,NA,0.945945945945946,NA,NA,0.618556701030928,NA,NA
"P8",0.919132972071697,NA,NA,0.96551724137931,NA,NA,0.402061855670103,NA,NA
"P9",1,NA,NA,1,NA,NA,0.309278350515464,NA,NA
"P10",0.963547538519354,NA,NA,0.982456140350877,NA,NA,0.412371134020619,NA,NA
"P11",1,NA,NA,1,NA,NA,0.505154639175258,NA,NA
"P12",1,NA,NA,1,NA,NA,0.577319587628866,NA,NA
"P13",0.759185700099305,NA,NA,0.878048780487805,NA,NA,0.577319587628866,NA,NA
"P14",0.957437472575691,NA,NA,0.976744186046512,NA,NA,0.556701030927835,NA,NA
"P15",NA,NA,NA,NA,NA,NA,1,NA,NA
"P16",0.88561320754717,NA,NA,0.981132075471698,NA,NA,0.45360824742268,NA,NA
"P17",1,NA,NA,1,NA,NA,0.443298969072165,NA,NA
"P18",1,NA,NA,1,NA,NA,0.34020618556701,NA,NA
"P19",1,NA,NA,1,NA,NA,0.608247422680412,NA,NA
"P20",0.815501664289111,NA,NA,0.902439024390244,NA,NA,0.577319587628866,NA,NA
"P21",1,NA,NA,1,NA,NA,0.577319587628866,NA,NA
"P22",1,NA,NA,1,NA,NA,0.989690721649485,NA,NA
"P23",0.911978221415608,NA,NA,0.982758620689655,NA,NA,0.402061855670103,NA,NA
"P24",0.724039829302987,NA,NA,0.945945945945946,NA,NA,0.237113402061856,NA,NA
"P25",1,NA,NA,1,NA,NA,0.484536082474227,NA,NA
"P26",0.644688644688645,NA,NA,0.989010989010989,NA,NA,0.0618556701030928,NA,NA
"P27",0.940925700365408,NA,NA,0.984615384615385,NA,NA,0.329896907216495,NA,NA
