"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.606646100938847,0.662698412698413,0
"Eligibility",0.750778816199377,0.696428571428571,0
"Recruitment",0.478499041358532,0.642857142857143,0
"Setting",0.466316135392705,0.75,0
"Organization",0.376344086021505,0.589285714285714,0
"Flex. delivery",0.610434782608696,0.589285714285714,0
"Flex. adherence",0.459987476518472,0.535714285714286,0
"Follow-up",0.311475409836066,0.642857142857143,0
"Outcome",0.731793210311311,0.821428571428571,0
"Analysis",0.690436705362078,0.696428571428571,0
