"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.336415711947627,0.708333333333333,0.89937106918239
"Eligibility",0.447916666666667,0.833333333333333,0.886792452830189
"Recruitment",-1.12,0,0.981132075471698
"Setting",-0.0192307692307694,0.5,0.962264150943396
"Organization",0.759090909090909,0.75,0.924528301886792
"Flex. delivery",-0.261904761904762,0.5,0.924528301886792
"Flex. adherence",1,1,0.924528301886792
"Follow-up",1,1,0.981132075471698
"Outcome",0.459183673469388,0.857142857142857,0.735849056603774
"Analysis",0.171875,0.5,0.773584905660377
