"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.372738402938376,0.583333333333333,0.89937106918239
"Eligibility",0.242857142857143,0.5,0.886792452830189
"Recruitment",-1.16326530612245,0,0.981132075471698
"Setting",-0.251968503937008,0.5,0.962264150943396
"Organization",0.790513833992095,0.5,0.924528301886792
"Flex. delivery",0.25561797752809,0.5,0.924528301886792
"Flex. adherence",1,1,0.924528301886792
"Follow-up",1,1,0.981132075471698
"Outcome",0.459183673469388,0.857142857142857,0.735849056603774
"Analysis",0.0225409836065574,0.25,0.773584905660377
