"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.726813682138476,0.630253104066104,0.815553964904195,0.752577319587629,0.683687113357038,0.822762783881736,0.807539682539683,0.76984126984127,0.843253968253968
"Eligibility",0.188405797101449,NA,NA,0.5,NA,NA,0.821428571428571,NA,NA
"Recruitment",0.724137931034483,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Setting",0.404255319148936,NA,NA,0.666666666666667,NA,NA,0.785714285714286,NA,NA
"Organization",0.258278145695364,NA,NA,0.714285714285714,NA,NA,0.875,NA,NA
"Flex. delivery",0.700534759358289,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Flex. adherence",0.75,NA,NA,0.875,NA,NA,0.714285714285714,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.946428571428571,NA,NA
"Outcome",0.721046077210461,NA,NA,0.909090909090909,NA,NA,0.607142857142857,NA,NA
"Analysis",0.662962962962963,NA,NA,0.533333333333333,NA,NA,0.732142857142857,NA,NA
