"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1773","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"655","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"668","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"671","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"680","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"681","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"685","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"690","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"691","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"695","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"713","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"714","4","deferred","deferred","deferred","5","deferred","deferred","5","deferred"
"715","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"722","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred"
"725","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"733","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
