"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.463991380938482,0.402944762497984,0.524563742624907,0.666332999666333,0.627302437461063,0.704037370704037,0,0,0
"P1",0.329979879275654,NA,NA,0.864864864864865,NA,NA,0,NA,NA
"P2",0.22996878251821,NA,NA,0.63963963963964,NA,NA,0,NA,NA
"P3",0.399594320486815,NA,NA,0.927927927927928,NA,NA,0,NA,NA
"P4",0.245111929725135,NA,NA,0.783783783783784,NA,NA,0,NA,NA
"P5",0.230591497227357,NA,NA,0.594594594594595,NA,NA,0,NA,NA
"P6",0.379310344827586,NA,NA,0.837837837837838,NA,NA,0,NA,NA
"P7",0.216390423572744,NA,NA,0.792792792792793,NA,NA,0,NA,NA
"P8",0.194417306350314,NA,NA,0.531531531531532,NA,NA,0,NA,NA
"P9",0.266923500275179,NA,NA,0.675675675675676,NA,NA,0,NA,NA
"P10",0.276118429633494,NA,NA,0.54954954954955,NA,NA,0,NA,NA
"P11",0.30793795620438,NA,NA,0.630630630630631,NA,NA,0,NA,NA
"P12",0.343870470316114,NA,NA,0.585585585585586,NA,NA,0,NA,NA
"P13",0.174670892247684,NA,NA,0.45045045045045,NA,NA,0,NA,NA
"P14",0.338610827374872,NA,NA,0.684684684684685,NA,NA,0,NA,NA
"P15",0.363789615643965,NA,NA,0.693693693693694,NA,NA,0,NA,NA
"P16",0.177613135762915,NA,NA,0.666666666666667,NA,NA,0,NA,NA
"P17",0.181163149768399,NA,NA,0.612612612612613,NA,NA,0,NA,NA
"P18",0.36084452975048,NA,NA,0.702702702702703,NA,NA,0,NA,NA
"P19",0.191815214662315,NA,NA,0.477477477477477,NA,NA,0,NA,NA
"P20",0.193870014771049,NA,NA,0.468468468468468,NA,NA,0,NA,NA
"P21",0.265171018756896,NA,NA,0.675675675675676,NA,NA,0,NA,NA
"P22",0.350018889308651,NA,NA,0.720720720720721,NA,NA,0,NA,NA
"P23",0.258085381630013,NA,NA,0.720720720720721,NA,NA,0,NA,NA
"P24",0.35133239831697,NA,NA,0.774774774774775,NA,NA,0,NA,NA
"P25",0.312641594925238,NA,NA,0.630630630630631,NA,NA,0,NA,NA
"P26",0.342687950566426,NA,NA,0.792792792792793,NA,NA,0,NA,NA
"P27",0.222094801223242,NA,NA,0.504504504504504,NA,NA,0,NA,NA
