"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.795399188092016,0.650452323087975,0.928618197764293,0.894736842105263,0.825396825396825,0.963619255844575,0.886904761904762,0.853174603174603,0.918650793650794
"Eligibility",-0.4,NA,NA,0.6,NA,NA,0.910714285714286,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.928571428571429,NA,NA
"Organization",0.410526315789474,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Flex. delivery",1,NA,NA,1,NA,NA,0.946428571428571,NA,NA
"Flex. adherence",1,NA,NA,1,NA,NA,0.821428571428571,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.982142857142857,NA,NA
"Outcome",0.654320987654321,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Analysis",0.867612293144208,NA,NA,0.909090909090909,NA,NA,0.803571428571429,NA,NA
