"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.889831525501962,0.853915906659994,0.925901334881858,0.940140845070423,0.918872758326217,0.96041234098173,0.460588793922127,0.426887656728778,0.493340263499143
"P1",1,NA,NA,1,NA,NA,0.0897435897435897,NA,NA
"P2",1,NA,NA,1,NA,NA,0.782051282051282,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0512820512820513,NA,NA
"P4",0.843373493975904,NA,NA,0.983870967741935,NA,NA,0.205128205128205,NA,NA
"P5",1,NA,NA,1,NA,NA,0.58974358974359,NA,NA
"P6",0.766233766233766,NA,NA,0.950819672131147,NA,NA,0.217948717948718,NA,NA
"P7",0.894736842105263,NA,NA,0.9375,NA,NA,0.58974358974359,NA,NA
"P8",0.804020100502512,NA,NA,0.9,NA,NA,0.487179487179487,NA,NA
"P9",1,NA,NA,1,NA,NA,0.320512820512821,NA,NA
"P10",0.877068557919622,NA,NA,0.948717948717949,NA,NA,0.5,NA,NA
"P11",1,NA,NA,1,NA,NA,0.474358974358974,NA,NA
"P12",1,NA,NA,1,NA,NA,0.538461538461538,NA,NA
"P13",0.631423508564678,NA,NA,0.8,NA,NA,0.487179487179487,NA,NA
"P14",0.953068592057762,NA,NA,0.975609756097561,NA,NA,0.474358974358974,NA,NA
"P15",0.186652763295099,NA,NA,0.411764705882353,NA,NA,0.782051282051282,NA,NA
"P16",0.41541755888651,NA,NA,0.815789473684211,NA,NA,0.512820512820513,NA,NA
"P17",0.894451962110961,NA,NA,0.962264150943396,NA,NA,0.320512820512821,NA,NA
"P18",0.921052631578947,NA,NA,0.980769230769231,NA,NA,0.333333333333333,NA,NA
"P19",0.940229885057471,NA,NA,0.96969696969697,NA,NA,0.576923076923077,NA,NA
"P20",0.562412342215989,NA,NA,0.757575757575758,NA,NA,0.576923076923077,NA,NA
"P21",0.951612903225806,NA,NA,0.974358974358974,NA,NA,0.5,NA,NA
"P22",0.313111545988258,NA,NA,0.5,NA,NA,0.769230769230769,NA,NA
"P23",0.679012345679012,NA,NA,0.897435897435897,NA,NA,0.5,NA,NA
"P24",0.779036827195467,NA,NA,0.956521739130435,NA,NA,0.41025641025641,NA,NA
"P25",0.896276595744681,NA,NA,0.951219512195122,NA,NA,0.474358974358974,NA,NA
"P26",1,NA,NA,1,NA,NA,0.282051282051282,NA,NA
"P27",1,NA,NA,1,NA,NA,0.58974358974359,NA,NA
